Script started on 2025-11-15 13:34:51+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     773        8      116   98.98%           17        436
       5        0      115  100.00%           17        436
      35        0      134  100.00%           18        436
   32562        0      118  100.00%           18        436
       5        0      116  100.00%           18        436
       3        0      115  100.00%           18        436
       7        0      115  100.00%           18        436
     812       94      161   89.62%           18        436
    1596        0      124  100.00%           18        436
       3        0      116  100.00%           18        436
       5        0      115  100.00%           18        436
       4        0      115  100.00%           18        436
       5        0      126  100.00%           18        436
   31807        0      117  100.00%           18        436
       5        0      116  100.00%           18        436
       4        0      115  100.00%           18        436
       5        0      116  100.00%           18        436
      11        0      120  100.00%           18        436
       4        0      117  100.00%           18        436
       4        0      116  100.00%           18        436
       7        0      115  100.00%           18        436
       5        0      116  100.00%           18        436
       5        0      118  100.00%           18        436
   32423        0      122  100.00%           18        436
       7        0      115  100.00%           18        436
       3        0      115  100.00%           18        436
       7        0      116  100.00%           18        436
       1        0      121  100.00%           18        436
      13        0      120  100.00%           18        436
       3        0      115  100.00%           18        436
       8        0      116  100.00%           18        436
       3        0      115  100.00%           18        436
       3        0      119  100.00%           18        436
   32293        0      120  100.00%           18        436
       5        0      115  100.00%           18        436
       3        0      116  100.00%           18        436

Script done on 2025-11-15 13:35:30+00:00 [COMMAND_EXIT_CODE="143"]
