Script started on 2025-11-15 13:35:50+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    32676    35760    0.00%           18        885
   65702    90636    56691   42.03%           18        936
  332676    31057    31517   91.46%           18       1159
  338595   105212    69068   76.29%           18       1346
  712403    56661    61698   92.63%           18       1660
  493592    92806    97032   84.17%           18       2060
 1003198   138044    22763   87.90%           18       1652
  778741    51201    53638   93.83%           18       2039
 1102152    94336    58343   92.12%           18       2074
 1165908    57043    62255   95.34%           18       2390
 1042612   127524    92660   89.10%           18       2627
 1634930    52539    56758   96.89%           18       2839
 1284397   102287    71653   92.62%           18       3364
 1072617   190392    50658   84.93%           18       2511
 1634182    58574    32743   96.54%           18       2780
 1296347    67382    61599   95.06%           18       3071
 1719024    87900    41389   95.14%           18       2949
 1820432    55257    48058   97.05%           18       3201
 1377413    89572    88902   93.89%           18       3751
 1864742    92497    55501   95.27%           18       3573
 2072126    48664    53350   97.71%           18       3820
 1700522    67835    72222   96.16%           19       4219
 1817394   108321    72643   94.38%           19       4299
 2268570    48303    53530   97.92%           19       4480
 1717168   187287    33191   90.17%           19       5287
 1339526   139878    64926   90.54%           19       4188
 2206946    60597    28220   97.33%           19       3851
 2142940    39670    31118   98.18%           19       4038
 1674817    74908    70051   95.72%           19       4586
 1895798   126981    79350   93.72%           19       4704
 2013343    89458    78366   95.75%           19       5150
 2053862    77990    67277   96.34%           19       5698
 1632746   136486   105216   92.29%           19       6085
 2199428   155092    33791   93.41%           19       5324
 1742006   132003    51863   92.96%           19       5890
 1522722    80701    75234   94.97%           19       6351
 1603386   110389    69875   93.56%           19       5151
 2146143    49033    51569   97.77%           19       5394
 2036535    49218    53301   97.64%           19       5643
 1580997   118467    91283   93.03%           19       5839
 2465169    57754    52718   97.71%           19       6119
 2281389    46815    51920   97.99%           20       6289
 2063500    68305    72731   96.80%           20       6691
 1814363   220616    52695   89.16%           20       5379
 2298178   135274    27588   94.44%           20       5244
 2344286    75898    28566   96.86%           20       5569
 2056807    69991    54675   96.71%           20       5970
 1747973   145727    98430   92.30%           20       6299
 1647255   129796   126290   92.70%           20       7100
 2235532   107635    70648   95.41%           20       7455
 2300476   100109    66227   95.83%           20       8020
 1726284   162108    81179   91.42%           20       8249
 2010048   172356    29013   92.10%           20       8532
 2136802    37760    31303   98.26%           20       8713
 1836706    51606    51940   97.27%           20       9031
 2039050    84259    46915   96.03%           20       9045
 2509890    24850    29338   99.02%           20       9168
 2299836    29930    28230   98.72%           20       8500
 1734531   139631    80156   92.55%           20       7198
 2496024    81501    50655   96.84%           20       6758
 2492925    62709    52075   97.55%           20       7054
 2459884    57897    52854   97.70%           20       7334
 1997194    90585    88197   95.66%           20       7660
 2761531    86840    48590   96.95%           20       7749
 2759496    47383    49918   98.31%           20       7944
 2635636    47052    50690   98.25%           20       8174
 2178324    81972    84733   96.37%           20       8677
 2645477    89206    53381   96.74%           21       8604
 2795276   126642    41806   95.67%           21       9122
 2326467   182846    27180   92.71%           21       9914
 2284192    91655    41039   96.14%           21      10344
 1743299   155492    96191   91.81%           21       9552
 1545422   174085   158062   89.88%           21       9203
 1617485   136997   125288   92.19%           21       9639
 1655474   140444   132987   92.18%           21      10583
 1749101   139726   119260   92.60%           21      11121
 1336775   247637    69671   84.37%           21      11255
 1051179   191173   106593   84.61%           21      11862
 1710235   130752    21515   92.90%           21       9104
 1910093   142000    44303   93.08%           21       8356
 1998479   122749    55624   94.21%           21       8899
 1553146   124944    89500   92.55%           21       9566
 2224633   112528    51800   95.19%           21       8508
 2435857    69962    55036   97.21%           21       8843
 2405425    65215    56270   97.36%           21       9165
 1877029   106092    91101   94.65%           21       9296
 2796882    84107    53506   97.08%           21       9653
 2782190    52836    53618   98.14%           21       9914
 2273581   202473    35599   91.82%           21      10702
 1871613   164287    65237   91.93%           21      11511
 2284224    95294    27608   96.00%           21       8862
 2765253    39254    27984   98.60%           21       9034
 2661511    31726    27779   98.82%           21       9179
 2307012    72114    58529   96.97%           21       9667
 1829760   152471   105384   92.31%           22       9733
 1673831   128661   124446   92.86%           22      10199
 1732443   144778   139086   92.29%           22      11299
 1640943   134380   124429   92.43%           22      11787
 1680895   131038   118011   92.77%           22      11981
 1279493   304064    61855   80.80%           22      13008
 1150818   213229    98018   84.37%           22      13023
 2085747   128534    57941   94.20%           22      13734
 1951861    95976    55280   95.31%           22      14050
 1847378    87184    54999   95.49%           22      14334
 1652325   121141    88589   93.17%           22      15136
 2104927   116126    23904   94.77%           22      12085
 2284098    88525    31812   96.27%           22       9852
 2496726    97067    53095   96.26%           22      10284
 2296118    93458    63212   96.09%           22      10742
 1973871   133148    77031   93.68%           22      10294
 2904171    66122    53461   97.77%           22      10618
 2763986    57919    50178   97.95%           22      10822
 2693007    56428    52010   97.95%           22      11091
 2315992    93869    90928   96.10%           22      11664
 2766513    89528    49837   96.87%           22      11579
 3006237    47590    48882   98.44%           22      11802
 2854123    67024    45785   97.71%           22      12056
 2112395   257054    26791   89.15%           22      13137
 1868554   151111    66285   92.52%           23      13432
 2540780    58037    25407   97.77%           23      10853
 2872345    35176    28300   98.79%           23      11010
 2757900    35866    27667   98.72%           23      11168
 2303026    70338    61068   97.04%           23      11596
 1773025   164206   119505   91.52%           23      11829
 1563307   126487   123499   92.51%           23      12219
 1728936   153444   151245   91.85%           23      13336
 1679116   137382   128739   92.44%           23      13852
 1633698   133782   125904   92.43%           23      14629
 1402109   257994    69144   84.46%           23      14901
 1124101   150562    99777   88.19%           23      15482
 1932009   167630    54011   92.02%           23      15787
 2254658   112262    42690   95.26%           23      16242
 2090310   102268    25809   95.34%           23      14932
 1675919   106418    42454   94.03%           23      11626
  293837    90561    69592   76.44%           23      10796

Script done on 2025-11-15 13:38:07+00:00 [COMMAND_EXIT_CODE="143"]
