Script started on 2025-11-15 13:38:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     946      127      226   88.16%           17        437
      58       30      250   65.91%           17        437
      96       22      269   81.36%           17        438
      64       37      282   63.37%           17        438
      61       32      260   65.59%           17        438
   31839       27      233   99.92%           17        438
      52       25      229   67.53%           17        439
      60       24      253   71.43%           17        439
   43930       36      227   99.92%           17        439
      58       33      260   63.74%           17        439
      51       27      238   65.38%           17        439
      66       34      264   66.00%           17        440
      68       31      274   68.69%           17        440
      73       28      261   72.28%           17        440
      68       36      276   65.38%           17        440
   32027       35      271   99.89%           17        441
      68       35      272   66.02%           17        441
      59       33      270   64.13%           17        441
     100       36      307   73.53%           17        442
      65       45      315   59.09%           17        442
      79       49      334   61.72%           17        442
      65       47      325   58.04%           17        443
      80       46      328   63.49%           17        443
      97       35      302   73.48%           17        443
      83       58      372   58.87%           17        444
   32767       51      340   99.84%           17        444
      78       50      341   60.94%           17        445
      80       56      396   58.82%           17        445
      99       54      381   64.71%           17        446
      94       81      467   53.71%           17        446
      89       67      415   57.05%           17        447
      86       76      452   53.09%           17        447
      82       65      418   55.78%           17        448
     100       68      446   59.52%           17        448
      93       79      467   54.07%           17        449
   32524       75      447   99.77%           17        449
      86       87      500   49.71%           17        450
      87       81      494   51.79%           17        451
      95       85      514   52.78%           17        452
      86      100      559   46.24%           17        453
      88      100      562   46.81%           17        453
      73      106      577   40.78%           17        454
      87      112      629   43.72%           17        455
     107      109      631   49.54%           17        456
      73      134      710   35.27%           17        457
   31413      123      663   99.61%           17        458
      75      127      676   37.13%           17        459
      63      152      807   29.30%           17        460
      80      134      733   37.38%           17        461
      70      134      712   34.31%           17        462
      68      160      824   29.82%           17        463
      77      137      725   35.98%           17        464
      57      171      891   25.00%           18        466
      73      153      814   32.30%           18        467
      60      181      930   24.90%           18        468
   31847      188      946   99.41%           18        470
      46      182      922   20.18%           18        471
      31      198     1006   13.54%           18        473
      43      203     1026   17.48%           18        475
      46      202     1032   18.55%           18        476
      14      231     1138    5.71%           18        478
       2      229     1130    0.87%           18        479
      13      225     1111    5.46%           18        482
       0      242     1193    0.00%           18        483
      16      240     1212    6.25%           18        485
   31901      260     1254   99.19%           18        487
       0      245     1337    0.00%           18        490
       0      241     1435    0.00%           18        492
   43806      303     1427   99.31%           18        494
       0      275     1460    0.00%           18        496
       0      246     1421    0.00%           18        499
       0      240     1480    0.00%           18        501
       0      247     1659    0.00%           18        504
       0      242     1586    0.00%           18        507
       0      277     1692    0.00%           18        510
   32127      371     1755   98.86%           18        512
       0      252     1854    0.00%           18        515
       0      247     2014    0.00%           18        518
       0      250     2357    0.00%           18        522
       0      266     2450    0.00%           18        526
       0      251     2555    0.00%           18        531
       0      248     2609    0.00%           18        536
       0      245     2645    0.00%           18        540
