Script started on 2025-11-15 14:01:56+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   33019        8      116   99.98%           17        352
       5        0      115  100.00%           17        352
       9        0      173  100.00%           17        352
       8        0      121  100.00%           17        352
       4        0      116  100.00%           17        352
       5        0      115  100.00%           17        352
       3        0      115  100.00%           17        352
       0        0      124    0.00%           17        352
       3        0      115  100.00%           17        352
   32316        0      116  100.00%           17        352
       3        0      115  100.00%           17        352
       7        0      115  100.00%           17        352
       3        2      116   60.00%           17        352
      13        0      119  100.00%           17        352
       3        0      116  100.00%           17        352
       7        0      115  100.00%           17        352
       3        0      116  100.00%           17        352
       4        0      118  100.00%           17        352
      10        0      119  100.00%           17        352
   31835        0      116  100.00%           17        352
       3        0      115  100.00%           17        352
       7        0      116  100.00%           17        352
       2        0      118  100.00%           17        352
      10        0      122  100.00%           17        352
       3        0      115  100.00%           17        352
       5        0      115  100.00%           17        352
       3        0      116  100.00%           17        352
       4        0      118  100.00%           17        352
      14        0      120  100.00%           17        352
   32088        0      115  100.00%           17        352
       5        0      116  100.00%           17        352
       5        0      115  100.00%           17        352
       1        0      121  100.00%           17        352
      11        0      120  100.00%           17        352
       3        0      115  100.00%           17        352
       5        0      116  100.00%           17        352
       5        0      115  100.00%           17        352
       3        0      120  100.00%           17        352
      13        0      119  100.00%           17        352
   32884        0      115  100.00%           17        352
       3        0      116  100.00%           17        352
       5        0      115  100.00%           17        352
       2        0      120  100.00%           17        352
      10        0      118  100.00%           17        352
       3        0      117  100.00%           17        352
       5        0      115  100.00%           17        352

Script done on 2025-11-15 14:02:45+00:00 [COMMAND_EXIT_CODE="143"]
