Script started on 2025-11-15 13:05:48+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     665        8      231   98.81%           18        458
       3        0      115  100.00%           18        458
      26        0      130  100.00%           18        458
       6        0      121  100.00%           18        458
       2        0      116  100.00%           18        458
   32131        0      115  100.00%           18        458
       1        0      115  100.00%           18        458
       3        1        1   75.00%           18        458
       0        1      116    0.00%           18        458
       6        0      115  100.00%           18        458
      18       30      116   37.50%           18        458
       3        0      115  100.00%           18        458
       1        0      115  100.00%           18        458
      11        0      120  100.00%           18        458
       1        0      115  100.00%           18        458
   31777        0      116  100.00%           18        458
       1        0      115  100.00%           18        458
       4        0      116  100.00%           18        458
       5        0      122  100.00%           18        458
       3        0      115  100.00%           18        458
       1        0      116  100.00%           18        458
       3        0      115  100.00%           18        458
       4        0      116  100.00%           18        458
       7        0      122  100.00%           18        458

Script done on 2025-11-15 13:06:16+00:00 [COMMAND_EXIT_CODE="143"]
