Script started on 2025-11-15 13:06:36+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   76846       19      116   99.98%           17        451
       1        0      115  100.00%           17        451
      28        0      129  100.00%           17        451
       7        0      118  100.00%           17        451
       4        0      116  100.00%           17        451
       1        0      115  100.00%           17        451
       3        0      115  100.00%           17        451
       9        0      121  100.00%           17        451
   53865        0      117  100.00%           17        451
       0        0      119    0.00%           17        451
       3        0      115  100.00%           17        451
       1        0      115  100.00%           17        451
      12        0      119  100.00%           17        451
       2        0      117  100.00%           17        451
       1        0      116  100.00%           17        451
       3        0      115  100.00%           17        451
       1        0      116  100.00%           17        451
       9        0      119  100.00%           17        451
   32379        0      118  100.00%           17        451
       3        0      116  100.00%           17        451
       1        0      115  100.00%           17        451
       3        0      116  100.00%           17        451
       2        0      118  100.00%           17        451
      29        0      122  100.00%           17        451
       1        0      115  100.00%           17        451
       3        0      115  100.00%           17        451
       1        0      116  100.00%           17        451
       0        0      121    0.00%           17        451
   31912        0      120  100.00%           17        451
       3        0      115  100.00%           17        451
       1        0      116  100.00%           17        451
       4        0      115  100.00%           17        451
       0        0      119    0.00%           17        451

Script done on 2025-11-15 13:07:12+00:00 [COMMAND_EXIT_CODE="143"]
