Script started on 2025-11-15 13:07:32+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     345        8      116   97.73%           17        451
       3        0      115  100.00%           17        451
   42930        0      133  100.00%           17        451
   44150       10      118   99.98%           17        451
       4        0      116  100.00%           17        451
       3        0      115  100.00%           17        451
       1        0      115  100.00%           17        451
       8        0      123  100.00%           18        451
       1        0      118  100.00%           18        451
       3        0      116  100.00%           18        451
       1        0      115  100.00%           18        451
       4        0      115  100.00%           18        451
   32065        1      119  100.00%           18        451
       3        0      117  100.00%           18        451
       1        0      116  100.00%           18        451
       4        0      115  100.00%           18        451
       1        0      116  100.00%           18        451
       9        0      120  100.00%           18        451
       0        0      117    0.00%           18        451
       4        0      116  100.00%           18        451
       1        0      115  100.00%           18        451
     905        0      116  100.00%           18        451
   31048        0      118  100.00%           18        451
   25891        0      122  100.00%           18        451
       1        0      115  100.00%           18        451
       5        0      115  100.00%           18        451
      13        2      116   86.67%           18        451
       0        0      121    0.00%           18        451
       5        0      120  100.00%           18        451
       3        0      115  100.00%           18        451
       1        0      116  100.00%           18        451
   22173        0      115  100.00%           18        451
    9973        0      119  100.00%           18        451

Script done on 2025-11-15 13:08:08+00:00 [COMMAND_EXIT_CODE="143"]
