Script started on 2025-11-15 13:08:28+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    33526    35014    0.00%           17        875
  104097    99524    62482   51.12%           18        967
  330233    35869    38723   90.20%           18       1236
  489924   106322    71009   82.17%           18       1432
  694596    71884    76917   90.62%           18       1799
  770698   170227    81541   81.91%           18       2143
 1022010    50403    25825   95.30%           18       2417
  997510   111717    75557   89.93%           18       1980
 1414921    55813    61472   96.21%           18       2285
 1098391    96383   100050   91.93%           18       2654
 1732641    91175    58001   95.00%           18       2790
 1492104    81945    87541   94.79%           18       3300
 1453730   200170    52649   87.90%           18       2404
 1640567    74774    33737   95.64%           18       2739
 1361638   110572    74600   92.49%           18       2925
 2070374    74274    50618   96.54%           18       3039
 1834313    74975    75386   96.07%           18       3474
 1849336   116316    80193   94.08%           18       3613
 2276195    48681    54301   97.91%           18       3833
 1980286    78136    83460   96.20%           18       4276
 2232158    98756    64270   95.76%           18       4284
 2447576    51203    57260   97.95%           18       4553
 1959490   160539    67248   92.43%           19       5317
 1841393   183671    47450   90.93%           19       3710
 2262308    68647    30987   97.05%           19       4008
 2020370    67206    54027   96.78%           19       4265
 1819805   144593    96317   92.64%           19       4584
 1862112   111141   103484   94.37%           19       5338
 2369231   105022    57271   95.76%           19       5630
 2041532   113409    96896   94.74%           19       6429
 2607923    89882    46153   96.67%           19       6458
 1898416   203087    41253   90.34%           19       5911
 1715341    87862    90248   95.13%           19       6455
 2112964    96382    60616   95.64%           19       5164
 2326364    51132    56293   97.85%           19       5430
 2001534    89202    94496   95.73%           19       5997
 2516961    90022    55223   96.55%           19       5933
 2569559    48426    54096   98.15%           19       6116
 2337366    75023    80710   96.89%           19       6572
 2527390   102559    67848   96.10%           19       6606
 2546213   127629    44942   95.23%           19       7129
 2258246   168153    29210   93.07%           19       7872
 2087925   111620    62699   94.93%           19       5894
 1806501   200481   134053   90.01%           19       6580
 1783342   133736   120612   93.02%           20       6983
 1904616   139073   121500   93.20%           20       7989
 2001053   122235    80841   94.24%           20       8381
 1732634   244054    85980   87.65%           20       8466
 2070950   181041    31604   91.96%           20       6123
 2107665    98180    57106   95.55%           20       6574
 1882161   100651    82693   94.92%           20       7072
 2274710   114321    68212   95.21%           20       6768
 2538861    58453    57628   97.75%           20       7067
 2283474    73244    74335   96.89%           20       7491
 2394137   112289    75069   95.52%           20       7528
 2848633    52545    56967   98.19%           20       7801
 2711292    52889    57581   98.09%           20       8079
 2181580   171463    85687   92.71%           20       8909
 2363137   208820    27636   91.88%           20       6707
 2677249    77797    29568   97.18%           20       7033
 2592626    44511    29446   98.31%           20       7231
 2186925   126589    83205   94.53%           20       7552
 1807559   169716   155706   91.42%           20       8728
 1724773   138380   122856   92.57%           20       9160
 1810457   154781   139859   92.12%           20      10236
 2293346   131024    90821   94.60%           21      10632
 1620089   253910    85215   86.45%           21      10917
 1874060   160408    72565   92.12%           21      11329
 2166701   113309    29975   95.03%           21       9342
 2093604   115636    36111   94.77%           21       7893
 1846219   166120    91899   91.74%           21       8079
 2721108    83838    53914   97.01%           21       8072
 2623935    67153    54164   97.50%           21       8390
 2341522    87660    80733   96.39%           21       8895
 2604408   103853    62213   96.17%           21       8910
 2952816    54018    54939   98.20%           21       9179
 2837182    51497    53587   98.22%           21       9387
 2522778    92726    95279   96.45%           21       9970
 2748135   194865    41100   93.38%           21      10282
 2658977   152273    28437   94.58%           21      10957
 2739429    63671    28162   97.73%           21      11222
 2462060    74368    65466   97.07%           21      11681
 1941168   169674   125835   91.96%           21       9850
 2092305   131247   121010   94.10%           21      10245
 1772198   161141   153952   91.67%           21      11401
 1924379   139378   134162   93.25%           21      11944
 1537486   227795   120318   87.10%           22      12591
 1285053   208263    88036   86.05%           22      13150
 1950037   162493    60091   92.31%           22      13329
 2337692   129170    34007   94.76%           22      13875
 2177943   106073    23227   95.36%           22      11617
 1909703   161546    75333   92.20%           22       9456
 2770294   102406    54873   96.44%           22       9325
 2691937    78872    54725   97.15%           22       9690
 2469390    79912    64486   96.87%           22      10100
 2400686   128906    81219   94.90%           22      10287
 3088140    57291    52986   98.18%           22      10505
 2950239    56829    55422   98.11%           22      10787
 2817615    65089    65043   97.74%           22      11141
 2568288   119074    80702   95.57%           22      11292
 3294214    49451    52708   98.52%           22      11499
 2722499   199563    36725   93.17%           22      12309
 2626971   138488    28198   94.99%           22      12865
 2459831   103668    68779   95.96%           22      13513
 1956678   185973   132802   91.32%           22      11401
 2131697   133781   126315   94.09%           22      11888
 1819139   152683   149321   92.26%           22      12997
 1806168   131134   125312   93.23%           22      13411
 1768144   129945   118625   93.15%           22      13734
 1324622   302345    74440   81.42%           23      14606
 1886214   187310    69932   90.97%           23      14854
 2390889   117016    40328   95.33%           23      15445
 2282054   104149    23605   95.64%           23      12115
 2095326   138679    78380   93.79%           23      11153
 2617568   131030    56763   95.23%           23      10866
 2822505    78118    53501   97.31%           23      11217
 2737479    72328    55130   97.43%           23      11564
 2365071   103326    92778   95.81%           23      11997
 3061478    98069    53454   96.90%           23      12075
 3076688    56300    53886   98.20%           23      12348
 2981040    55046    54411   98.19%           23      12618
 2466141    84667    89421   96.68%           23      13065

Script done on 2025-11-15 13:10:33+00:00 [COMMAND_EXIT_CODE="143"]
