Script started on 2025-11-15 13:10:56+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   44144      101      219   99.77%           18        436
      43       25      226   63.24%           18        436
      82       17      234   82.83%           18        436
      67       27      235   71.28%           18        436
      51       28      241   64.56%           18        437
      57       27      234   67.86%           18        437
      42       22      215   65.62%           18        437
      51       24      256   68.00%           18        437
   32232       28      253   99.91%           18        438
      53       30      248   63.86%           18        438
      53       27      238   66.25%           18        438
      56       30      247   65.12%           18        438
      57       33      269   63.33%           18        438
      85       29      285   74.56%           18        439
   32900       31      253   99.91%           18        439
      57       33      260   63.33%           18        439
      57       35      274   61.96%           18        440
      71       35      278   66.98%           18        440
   31370       32      290   99.90%           18        440
      62       40      293   60.78%           18        440
      97       94      321   50.79%           18        441
      74       39      288   65.49%           18        441
     103       93      339   52.55%           18        441
      44      516      310    7.86%           19        442
      66       49      332   57.39%           19        443
      76       51      341   59.84%           19        444
      80       52      346   60.61%           19        444
      63       56      372   52.94%           19        444
   31531       52      378   99.84%           19        445
      83       62      389   57.24%           19        445
      80       68      417   54.05%           19        446
      78       65      403   54.55%           19        446
      81       62      414   56.64%           19        447
     103       70      459   59.54%           19        447
      74       69      424   51.75%           19        448
      78       72      435   52.00%           19        449
      88       74      445   54.32%           19        449
      90       83      498   52.02%           19        450
   53121       74      466   99.86%           19        450
   43967       89      507   99.80%           19        451
      91       86      492   51.41%           19        452
      92       87      504   51.40%           19        453
      77       91      532   45.83%           19        453
      88       89      540   49.72%           19        454
      91       96      545   48.66%           19        455
      90      103      575   46.63%           19        455
      65      123      660   34.57%           19        456
      81      114      637   41.54%           19        457
   32182      115      638   99.64%           19        458
      86      119      660   41.95%           19        459
      81      128      686   38.76%           19        460
      83      132      701   38.60%           19        461
      73      133      719   35.44%           19        462
      68      153      796   30.77%           19        463
      83      139      766   37.39%           19        465
      80      138      729   36.70%           19        466
      60      158      818   27.52%           19        467
      55      170      882   24.44%           19        468
   31628      173      889   99.46%           19        470
      75      173      912   30.24%           19        471
      53      179      903   22.84%           19        472
      50      186      908   21.19%           19        474
      48      178      896   21.24%           19        475
      28      205     1024   12.02%           19        477
      45      202     1043   18.22%           19        479
      10      232     1139    4.13%           19        480
      20      215     1066    8.51%           19        482
      11      228     1141    4.60%           19        484
   32262      241     1179   99.26%           19        486
      45      220     1117   16.98%           19        487
   32381      252     1226   99.23%           19        489
       0      246     1219    0.00%           19        492
       0      235     1266    0.00%           19        493
       0      238     1305    0.00%           19        495
       0      266     1462    0.00%           19        498
       0      248     1476    0.00%           19        500
       0      247     1460    0.00%           19        503
       0      240     1522    0.00%           19        505
   32293      338     1615   98.96%           19        508
       0      263     1635    0.00%           19        510
       0      247     1719    0.00%           19        513
       0      247     1752    0.00%           19        516
       0      244     1780    0.00%           19        519
       0      251     2289    0.00%           19        523
       0      271     2226    0.00%           19        526
       0      249     2340    0.00%           19        531
       0      249     2405    0.00%           19        534
       0      250     2535    0.00%           19        539
   32000      544     2444   98.33%           19        543
       0      256     2731    0.00%           19        547
       0      245     2761    0.00%           19        552
       0      254     2695    0.00%           19        558
       0      245     3012    0.00%           20        562
       0      251     3131    0.00%           20        567
       0      254     3147    0.00%           20        573
       0      280     3312    0.00%           20        578
       0      244     3392    0.00%           20        585
       0      246     3509    0.00%           20        590
   31399      801     3580   97.51%           20        597
   43898      807     3536   98.19%           20        603
       0      275     3830    0.00%           20        610
       0      252     3831    0.00%           20        617
       0      251     3920    0.00%           20        623
       0      245     4027    0.00%           20        631
       0      250     4150    0.00%           20        638
       0      275     4206    0.00%           20        644
       0      248     4361    0.00%           20        653
       0      245     4459    0.00%           20        660
   31646     1068     4605   96.74%           20        668
       0      250     4458    0.00%           20        678
       0      251     4768    0.00%           20        685
       0      248     5040    0.00%           20        693
       0      238     4833    0.00%           20        704
       0      247     5103    0.00%           20        713
       0      248     5168    0.00%           20        722
       0      333     5410    0.00%           20        731
       0      243     5375    0.00%           20        742
       0      250     5092    0.00%           20        751
   31552     1306     5477   96.03%           20        761
       0      248     5334    0.00%           20        773
       0      254     5360    0.00%           20        783
       0      250     5655    0.00%           20        792
       0      240     5523    0.00%           20        804
       0      251     5713    0.00%           20        814
       0      570     6477    0.00%           20        831
