Script started on 2025-11-15 12:08:37+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     144        8      115   94.74%           17        366
       5        0      116  100.00%           17        366
   44433       11      115   99.98%           17        366
      26        0      150  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      116  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      115  100.00%           17        366
       1        0      130  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      116  100.00%           17        366
       3        0      115  100.00%           17        366
   32341        0      115  100.00%           17        366
       2        1      119   66.67%           17        366
       3        0      115  100.00%           17        366
       3        0      116  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      116  100.00%           17        366
      10        0      119  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      116  100.00%           17        366
      15        2      115   88.24%           17        366
   31945        0      116  100.00%           17        366
      10        0      122  100.00%           17        366
       3        0      118  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      115  100.00%           17        366
       3        0      116  100.00%           17        366

Script done on 2025-11-15 12:09:08+00:00 [COMMAND_EXIT_CODE="143"]
