Script started on 2025-11-15 12:14:48+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
    1700       96      502   94.65%           17        386
   31629        0      457  100.00%           17        387
     209        0      497  100.00%           17        387
     182        0      569  100.00%           17        387
     204        0      523  100.00%           17        387
     173        0      444  100.00%           17        388
     227        0      541  100.00%           17        388
     201        0      507  100.00%           17        388
     236        0      485  100.00%           17        388
     252        0      506  100.00%           17        389
    2679       84      537   96.96%           17        389
   32595        0      553  100.00%           17        389
     274        0      543  100.00%           17        390
     249        0      664  100.00%           17        390
     199        0      607  100.00%           17        390
     233        0      616  100.00%           17        391
     295        0      673  100.00%           17        391
     286        0      612  100.00%           17        391
     244        0      681  100.00%           17        392
     264        0      745  100.00%           17        392
     219        0      831  100.00%           17        393
   31760        0      819  100.00%           17        393
     278        0      702  100.00%           17        394
     283        0      791  100.00%           17        394
     277        0      831  100.00%           17        395
     241        0      927  100.00%           17        395
     310        0      818  100.00%           17        396
     353        0      816  100.00%           17        397
     414        0     1019  100.00%           17        397
     322        0     1078  100.00%           17        398
     347        0     1015  100.00%           18        398
   32742        0      913  100.00%           18        399
     403        0      900  100.00%           18        400
     349        0     1008  100.00%           18        401
     300        0     1020  100.00%           18        401
     344        0     1033  100.00%           18        402
     383        0      996  100.00%           18        403
     399        0     1032  100.00%           18        403
     404        0     1181  100.00%           18        404
     275        0     1308  100.00%           18        405
     409        0     1191  100.00%           18        406
   32728        0     1227  100.00%           18        407
     484        0     1188  100.00%           18        408
     444        0     1403  100.00%           18        409
     297        0     1593  100.00%           18        410
     351        0     1503  100.00%           18        411
     494        0     1408  100.00%           18        413
     528       12     1389   97.78%           18        414
     529        0     1611  100.00%           18        415
     293        0     1697  100.00%           18        416
     408        0     1719  100.00%           18        418
   32556        0     1632  100.00%           18        420
   44474       13     1620   99.97%           18        421
     524       17     1563   96.86%           18        423
     162        0     2131  100.00%           18        424
     401        0     1852  100.00%           18        426
     293      230     1741   56.02%           18        428
     493       60     1768   89.15%           18        430
     488      102     1801   82.71%           18        432
     517       91     1869   85.03%           18        434
     269      295     1931   47.70%           18        437
   32441      136     1988   99.58%           18        439
     428      144     1934   74.83%           18        441
     449      153     2006   74.58%           18        444
     118        0     2742  100.00%           18        446
     260        0     2594  100.00%           18        449
     437       45     2138   90.66%           18        451
     404      108     2337   78.91%           18        454
     420       97     2386   81.24%           18        456
     406      130     2391   75.75%           18        459
     179      279     2578   39.08%           18        463
   32935      161     2517   99.51%           18        465
     327      189     2611   63.37%           18        468
     355      141     2832   71.57%           18        472
     134        0     3366  100.00%           18        474
     147        0     3091  100.00%           18        478
     308       44     3013   87.50%           18        481
     245      148     3096   62.34%           18        485
     305      109     3139   73.67%           18        488
     221      176     3375   55.67%           18        493
      78      198     3784   28.26%           18        497
   32326      249     3908   99.24%           18        502
       0      224     4003    0.00%           18        506
       0      271     4084    0.00%           18        511
       0        0     4913    0.00%           18        516
       0        0     4874    0.00%           18        522
       0        0     4800    0.00%           18        527
       0        0     4887    0.00%           18        533
       0        0     5045    0.00%           18        540
       0        0     5103    0.00%           18        546
       0       73     5205    0.00%           18        553
   31428      651     4911   97.97%           18        560
       0        0     5561    0.00%           18        569
       0        0     5530    0.00%           18        577
       0        0     5868    0.00%           18        584
       0        0     5724    0.00%           18        592
       0        7     5710    0.00%           18        599
       0        0     5984    0.00%           18        609
   31054      875     5913   97.26%           18        617
       0        0     6112    0.00%           18        627
   32085        0     7871  100.00%           19        636
   31216        0     7154  100.00%           19        645
    2662      562     7267   82.57%           19        656
   30798      123     7301   99.60%           19        665
       0        0     7122    0.00%           19        675
       0        0     7539    0.00%           19        686
       0        0     7821    0.00%           19        697
       0        0     7405    0.00%           19        708
       0        0     7829    0.00%           19        719
       0        0     7838    0.00%           19        731
       0        0     7804    0.00%           20        744
   30983      905     7475   97.16%           20        755
   42436     1108     7508   97.46%           20        767
   29589     2056    11117   93.50%           20        790
       0        0     7606    0.00%           20        802
       0       54     7251    0.00%           20        817
       0        0     7498    0.00%           20        830
       0        0     7008    0.00%           20        843
       0        0     7409    0.00%           20        855
       0     1594     9338    0.00%           20        885
    9605    40778    44644   19.06%           20       1204
  970412    55274    18342   94.61%           20        897
 1680124     1178     8088   99.93%           20        908
 1622578     1093     7945   99.93%           20        919
 1626310     1072     8097   99.93%           20        930
 1572178     1087     8272   99.93%           20        941
 1559562     1079     7796   99.93%           20        952
 1539129     1143     8303   99.93%           20        964
 1518298     1094     8235   99.93%           20        975
 1545562     1444     8657   99.91%           20        988
 1487899     1554     8194   99.90%           20       1000
 1496348     1209     8340   99.92%           20       1012
 1460476     1115     8050   99.92%           20       1024
 1447578     1151     8212   99.92%           20       1035
 1432033     1352     8372   99.91%           20       1048
 1406390     1155     8150   99.92%           20       1059
 1399730     1188     8140   99.92%           20       1071
 1379423     1851     8590   99.87%           20       1086
 1360224     1205     8441   99.91%           20       1098
 1357215     1205     8333   99.91%           20       1110
 1318493      572     8405   99.96%           20       1121
 1306762        0     9818  100.00%           20       1134
 1252846        0     9586  100.00%           20       1146
 1252222        0     9120  100.00%           20       1158
 1238468      366     9239   99.97%           20       1171
 1229353      320     8805   99.97%           20       1183
 1214492        0    10849  100.00%           20       1195
 1209483        0     9853  100.00%           20       1206
 1218966     1470    11744   99.88%           20       1224
 1183806     1198     7829   99.90%           20       1235
 1169981     1482     7582   99.87%           20       1248
 1185186     1219     7808   99.90%           20       1261
 1142713     1244     8128   99.89%           20       1273
 1123038     3554    10163   99.68%           20       1302
 1043339    35657    42251   96.70%           20       1582
 1572014    65314    32852   96.01%           20       1409
 2006439    26995    33867   98.67%           20       1525
 1994257    25787    32886   98.72%           20       1599
 1828217    69410    34071   96.34%           20       1354
 1747811    44684    14548   97.51%           20       1368
 1871029     1381     8459   99.93%           20       1380
 1876858        0    10085  100.00%           20       1393
 1849896        0     9502  100.00%           20       1405
 1827868      218     9244   99.99%           20       1417
 1825915      607     9357   99.97%           20       1430
 1804107      553     9272   99.97%           20       1442
 1783686      735     8980   99.96%           20       1454
 1764663     1410     9348   99.92%           20       1468
 1747208      976     8946   99.94%           20       1482
 1738673      973     8915   99.94%           20       1494
 1724317     1036     8808   99.94%           20       1506
 1732292     1220     8891   99.93%           20       1519
 1723672     1137     8755   99.93%           20       1532
 1604127     1115     8700   99.93%           20       1544
  903750     1551     9231   99.83%           20       1559
  888479     1377     8981   99.85%           20       1573
  897524        0    10417  100.00%           20       1586
  917556      118    13691   99.99%           20       1605
  889659     1498     8522   99.83%           20       1619
  890644     1685     8707   99.81%           20       1634
  875384     1441     8466   99.84%           20       1648
  911103     1404     8040   99.85%           20       1662
  860701     1405     7869   99.84%           20       1675
  872399     1714     8113   99.80%           20       1689
  862524     3406     9935   99.61%           20       1717
  781963    36048    42107   95.59%           20       2000
 1043740    46829    21532   95.71%           20       1736
 1285974     1774     9012   99.86%           20       1751
 1282154     1321     8724   99.90%           20       1764
 1302040     1357     8928   99.90%           20       1777
 1287534     1334     9036   99.90%           20       1791
 1298333     1748     8642   99.87%           20       1805
 1287229     1693     9060   99.87%           20       1820
 1261111     1338     8779   99.89%           20       1833
 1267961     1296     8833   99.90%           20       1846
 1258777     1472     8707   99.88%           20       1860
 1247563     1422     8622   99.89%           20       1873
 1246472        0    10971  100.00%           20       1887
 1285515        0    10080  100.00%           20       1900
 1257307      868     9764   99.93%           20       1916
 1236051      464     9369   99.96%           20       1930
 1259166      642     8837   99.95%           20       1942
 1224521      965     9209   99.92%           20       1957
 1221021      899     9084   99.93%           20       1970
 1251439      944     8919   99.92%           20       1983
 1209111     1287     9184   99.89%           20       1997
 1196846     1099     8688   99.91%           20       2010
 1198892     1181     8688   99.90%           21       2024
 1209959     1395     8878   99.88%           21       2037
 1219649     1565    11572   99.87%           21       2055
 1232285     1654     8243   99.87%           21       2069
 1221693     1379     8372   99.89%           21       2082
 1194307     1333     8385   99.89%           21       2096
 1168117     4701    11822   99.60%           21       2135
 1089750    37822    44387   96.65%           21       2432
 1405751    63079    31967   95.71%           21       2224
 1508710    26845    33668   98.25%           21       2370
 1537538    25308    32337   98.38%           21       2441
 1503123    27883    34710   98.18%           21       2596
 1491962    26036    32887   98.28%           21       2672
 1533432    28309    35375   98.19%           21       2831
 1512559    25508    32317   98.34%           21       2903
  883280   169374    38569   83.91%           21       2280
 1252661    27840    21008   97.83%           21       2247
 1261502    16882    20115   98.68%           21       2364
 1233358    24329    19210   98.07%           21       2313
 1253490    12921    18827   98.98%           21       2412
 1250767    18785    13010   98.52%           21       2312
 1299079     2058     9234   99.84%           21       2328
 1274719     1200     8843   99.91%           21       2342
 1255862     1263     8914   99.90%           21       2355
 1275071     1368     8508   99.89%           21       2368
 1292869     1557    11574   99.88%           21       2385
 1265724     1383     8475   99.89%           21       2399
 1255426     1663     8554   99.87%           21       2413
 1241524     1308     8566   99.89%           21       2427
 1260910     1330     8329   99.89%           21       2439
 1226336     1684     8710   99.86%           21       2454
 1234464     1594     8728   99.87%           21       2469
 1230913     1583     8866   99.87%           21       2483
 1237361     1507     8504   99.88%           21       2496
 1245309     1315     8432   99.89%           21       2510
 1210435     1421     8545   99.88%           21       2523
 1205526     1327     8458   99.89%           21       2536
 1117939    33398    40071   97.10%           21       2798
 1200178    48579    26777   96.11%           21       2560
 1533970     3694     9665   99.76%           21       2584
 1528872     1321     8778   99.91%           21       2597
 1446306        0    10552  100.00%           21       2609
 1445058      193     9810   99.99%           21       2623
 1424195      238     9579   99.98%           21       2636
 1469619      454     9448   99.97%           21       2649
 1428313      679     9467   99.95%           21       2661
 1434867     1375     9388   99.90%           21       2677
 1423754      870     9147   99.94%           21       2690
 1448532     1028     9228   99.93%           21       2703
 1417236     1240     9129   99.91%           21       2717
 1403734     1114     8708   99.92%           21       2730
 1411230     1102     9060   99.92%           21       2743
 1424847     1399     9000   99.90%           21       2757
 1395360     1206     8682   99.91%           21       2769
 1418111     1215     8700   99.91%           21       2782
 1406587     1622    12056   99.88%           21       2800
