Script started on 2025-11-15 12:35:52+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     775        8      116   98.98%           17        450
       3        0      115  100.00%           17        450
       0        0      142    0.00%           17        450
      45        0      123  100.00%           17        450
       3        0      116  100.00%           17        450
       3        0      115  100.00%           17        450
      15        2      115   88.24%           17        450
       0        0      130    0.00%           17        450
       8        0      119  100.00%           17        450
       5        0      116  100.00%           17        450
       3        0      115  100.00%           17        450
       3        0      115  100.00%           17        450
       3        0      119  100.00%           17        450
       9        0      120  100.00%           17        450
       3        0      116  100.00%           17        450
       5        0      115  100.00%           17        450
       5        0      116  100.00%           17        450
       2        0      118  100.00%           17        450
      10        0      119  100.00%           17        450
       5        0      116  100.00%           17        450
       3        0      115  100.00%           17        450
       5        0      116  100.00%           17        450
       3        0      118  100.00%           17        450
       8        0      123  100.00%           17        450
       3        0      115  100.00%           17        450
       3        0      115  100.00%           17        450
      24       13      116   64.86%           17        450
       2        0      118  100.00%           17        450
      16        0      121  100.00%           17        450
       3        0      115  100.00%           17        450
       3        0      116  100.00%           17        450
       3        0      115  100.00%           17        450
       0        0      121    0.00%           17        450
       9        0      121  100.00%           17        450
       3        0      115  100.00%           17        450
       3        0      116  100.00%           17        450
       3        0      115  100.00%           17        450
       3        0      120  100.00%           17        450
      13        0      117  100.00%           17        450
       2        0      117  100.00%           17        450
       3        0      116  100.00%           17        450
       3        0      115  100.00%           17        450
       3        1      116   75.00%           17        450
       5        0        6  100.00%           17        450
       3        0      117  100.00%           17        450

Script done on 2025-11-15 12:36:40+00:00 [COMMAND_EXIT_CODE="143"]
