Script started on 2025-11-15 12:37:06+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     782        8      116   98.99%           16        308
       5        0      115  100.00%           16        308
      61        2      119   96.83%           16        308
       0        0      143    0.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       4        3      116   57.14%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       9        0      123  100.00%           16        308
       5        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       6        0      125  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       6        0      115  100.00%           16        308
       9        0      126  100.00%           16        308
       3        0      115  100.00%           16        308

Script done on 2025-11-15 12:37:34+00:00 [COMMAND_EXIT_CODE="143"]
