Script started on 2025-11-15 12:37:54+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     230        8      116   96.64%           16        308
       5        0      115  100.00%           16        308
      55        0      119  100.00%           16        308
       0        0      141    0.00%           16        308
      15        2      116   88.24%           16        308
       3        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       4        2      115   66.67%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       8        0      123  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       8        0      123  100.00%           16        308
       5        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       8        0      126  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
      10        0      126  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       7        0      124  100.00%           16        308
       3        0      115  100.00%           16        308
       2        0        0  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
      13        1      120   92.86%           16        308

Script done on 2025-11-15 12:38:37+00:00 [COMMAND_EXIT_CODE="143"]
