Script started on 2025-11-15 12:38:57+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     781        8      116   98.99%           16        308
      15        2      115   88.24%           16        308
      57        0      144  100.00%           16        308
       7        0      120  100.00%           16        308
       3        0      116  100.00%           16        308
       4        0      115  100.00%           16        308
       3        0      115  100.00%           16        308
       9        0      122  100.00%           16        308
       2        0      117  100.00%           16        308
       3        1      117   75.00%           16        308
       3        0      115  100.00%           16        308
       5        0      115  100.00%           16        308
      13        1      119   92.86%           16        308
       4        0      117  100.00%           16        308
       3        0      116  100.00%           16        308
       5        0      115  100.00%           16        308
       5        0      116  100.00%           16        308
      11        0      121  100.00%           16        308
       5        0      117  100.00%           16        308
       5        0      116  100.00%           16        308
       5        0      115  100.00%           16        308
       5        0      116  100.00%           16        308
       4        0      118  100.00%           16        308
      16        0      121  100.00%           16        308
       5        0      115  100.00%           16        308
       5        0      115  100.00%           16        308
       5        0      116  100.00%           16        308
       1        0      121  100.00%           16        308
      10        0      120  100.00%           16        308
       8        0      115  100.00%           16        308
       3        0      116  100.00%           16        308
       3        0      115  100.00%           16        308
       1        0      119  100.00%           16        308
       9        0      120  100.00%           16        308
       3        0      115  100.00%           16        308
       3        0      116  100.00%           16        308

Script done on 2025-11-15 12:39:36+00:00 [COMMAND_EXIT_CODE="143"]
