Script started on 2025-11-15 12:39:55+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    30918    29529    0.00%           16        645
       0    17191    71798    0.00%           16       1136
  271206    57629    34509   82.47%           16        923
  237181    41063    52521   85.24%           16       1253
  375186    92516    67871   80.22%           16       1293
  661266    57938    68264   91.94%           16       1620
  359032   117671    94276   75.32%           16       1290
  417849    77619    32865   84.33%           17       1482
  915561    31970    34221   96.63%           17       1686
  660897    58576    68272   91.86%           17       2145
  973511    85244    59409   91.95%           17       2120
 1145312    52267    62455   95.64%           17       2338
  812535   106714   103394   88.39%           17       2514
 1235625    68045    68406   94.78%           17       2871
 1127355    64802    53299   94.56%           17       1853
  433783   119706    63998   78.37%           17       2489
  589949   120806    70365   83.00%           17       2486
 1456537    52943    44873   96.49%           17       2736
 1409176    41792    43457   97.12%           17       3016
 1070487    95925    96375   91.78%           17       3462
 1138556    93382    68299   92.42%           17       3297
 1723731    51958    63809   97.07%           17       3508
 1556658    63968    72809   96.05%           17       3879
 1105911   115670    94095   90.53%           17       4040
 1542972    86600    54399   94.69%           18       4398
  899828   103931    47550   89.65%           18       4903
 1175696    68552    42682   94.49%           18       3644
 1148174    89690    82527   92.75%           18       3704
 1569404    69182    43090   95.78%           18       3825
 1882072    57535    58692   97.03%           18       4097
 1657792    68294    73328   96.04%           18       4476
 1138922   111173    91532   91.11%           18       4416
 2104402    56446    60984   97.39%           18       4701
 2019663    49762    59230   97.60%           18       4962
 1884823    63960    73212   96.72%           18       5334
 1273445   105492    87802   92.35%           18       5427
 1936267    77145    53131   96.17%           18       5724
  799842   124015    46866   86.58%           18       6302
  956058    80766    38897   92.21%           18       4506
 1365577    67980    51906   95.26%           18       4879
 1079662   108910    78098   90.84%           18       4754
 1936809    51589    40782   97.41%           18       4989
 2067758    36160    38445   98.28%           18       5228
 1900481    40576    41156   97.91%           18       5303
 1382962   101027    84635   93.19%           19       5177
 2000913    67341    59458   96.74%           19       5437
 2262310    50597    57261   97.81%           19       5670
 2101008    49419    59961   97.70%           19       5922
 1841365    86897    93340   95.49%           19       6209
 1937427    82426    61374   95.92%           19       6361
 2423992    45286    54560   98.17%           19       6587
 2392594    44131    54279   98.19%           19       6806
 2124733    75783    85119   96.56%           19       7272
 1226385   112792    63915   91.58%           19       7294
  964660   118883    44172   89.03%           19       7851
 1348795    90940    47306   93.68%           19       8236
 1612948    66627    40201   96.03%           19       6491
 1853196    60870    43479   96.82%           19       6402
 1699602    83133    78190   95.34%           19       6653
 1234761   169627   134552   87.92%           19       7179
 1621459   128084   122644   92.68%           19       7610
 1774573   125776   118432   93.38%           19       8521
 1853074   111089    84836   94.34%           19       8897
 1372129   102974    51709   93.02%           20       7715
  295645   212602    92823   58.17%           20       6212
 1172465   107166    70657   91.63%           20       6697
 1856381    80955    67993   95.82%           20       7080
 1763765    69322    66011   96.22%           20       7421
 1668878    58636    61345   96.61%           20       7710
 1286053   111031   100996   92.05%           20       7816
 1822517    71563    61931   96.22%           20       8157
 2131640    49104    60371   97.75%           20       8405
 1654650    80311    52638   95.37%           20       8755
  742078   138870    61479   84.24%           20       9455
  771159   127000    68212   85.86%           20       7294
 1804558    70854    45110   96.22%           20       7597
 2289699    58611    43340   97.50%           20       7924
 2243213    39225    37796   98.28%           20       8105
 2162786    41441    36969   98.12%           20       8036
 1574869   120534    89027   92.89%           20       8067
 1672325   139205   131772   92.32%           20       9025
 1682441   119569   121708   93.36%           20       9491
 1613117   124009   127682   92.86%           20      10322
 1705498   123208   119676   93.26%           20      10914
 1497124   126175    70416   92.23%           21      10593
  312710   112398    43912   73.56%           21      11127
  405059   143364    82578   73.86%           21      11387
  901473    73540    35830   92.46%           21       8668
 1581478   111296    67281   93.43%           21       8630
 1620418    94414    67417   94.49%           21       9053
 1656177    82027    66519   95.28%           21       9430
 1597736    90909    84223   94.62%           21       9922
 1199777   112740    84495   91.41%           21       9307
 2292078    58343    59617   97.52%           21       9587
 2181837    53372    58039   97.61%           21       9847
 2157527    52482    58335   97.63%           21      10110
 1779498    93901    97711   94.99%           21      10400
 1658774    90689    58007   94.82%           21      10581
  719145   127004    45347   84.99%           21      11167
  935563   104774    44060   89.93%           21      11602
 1412323    81423    45570   94.55%           21      11948
 1897492    55706    44589   97.15%           21      12265
 1624522    72552    65528   95.72%           22      10076
 1621657    78590    48074   95.38%           22       9634
 2571879    34597    36172   98.67%           22       9795
 2420688    33167    35028   98.65%           22       9948
 2297810    43274    35947   98.15%           22      10207
 1666990   112491    90012   93.68%           22      10148
 1447096   171539   163370   89.40%           22      11368
 1753033   128263   131498   93.18%           22      11779
 1439874   160932   164458   89.95%           22      12967
 1644198   136831   136727   92.32%           22      13366
  907982   168340   101630   84.36%           22      13204
  412039   156055    92770   72.53%           22      14097
  685057   128015    69258   84.26%           22      14462
  640132   145045    87790   81.53%           22      13519
  815867   104132    41666   88.68%           22       9148
 1347080   117592    68600   91.97%           22       9662
 1349521   105557    68592   92.75%           23      10132
 1448465    94432    69066   93.88%           23      10558
 1618309    89809    67552   94.74%           23      10969
 1421713   110313    98960   92.80%           23      11536
 1381862   101799    68286   93.14%           23      11521
 2294285    62447    60639   97.35%           23      11814
 2127245    57165    61146   97.38%           23      12091
 2151104    55556    57896   97.48%           23      12355
  816223   160434    87046   83.57%           23      13037
  567255   118142    42474   82.76%           23      10659
 1142840    91336    45444   92.60%           23      11107
 1739928    82418    46344   95.48%           23      11458
 2174779    57790    44134   97.41%           23      11715
