Script started on 2025-11-15 12:43:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
    1680      154      368   91.60%           16        317
     192        0      448  100.00%           16        317
     249        0      554  100.00%           16        317
     172        0      535  100.00%           16        318
     181        0      524  100.00%           16        318
     151        0      457  100.00%           16        318
     171        0      466  100.00%           16        318
     203        0      567  100.00%           16        319
     258        0      532  100.00%           16        319
     253        0      552  100.00%           16        319
     271        0      600  100.00%           16        320
     275        0      554  100.00%           16        320
     306        0      587  100.00%           16        320
     176        0      706  100.00%           16        321
     227        0      688  100.00%           16        321
     240        0      680  100.00%           16        321
     245        0      633  100.00%           16        322
     255        0      669  100.00%           16        322
     261        0      975  100.00%           16        323
     241        0      742  100.00%           16        323
     301        0      836  100.00%           16        323
     270        0      754  100.00%           16        324
     285        0      709  100.00%           16        325
     245        0      908  100.00%           16        325
     298        0      979  100.00%           16        326
     293        0      839  100.00%           16        327
     306        0      865  100.00%           16        328
     342        0      896  100.00%           16        328
     334        0     1033  100.00%           16        329
     260        0      983  100.00%           16        329
     299        0     1062  100.00%           16        330
     371        0      941  100.00%           16        331
     376        0     1013  100.00%           16        331
     337        0     1234  100.00%           16        332
     265        0     1159  100.00%           16        333
     347        0     1115  100.00%           16        334
     386        0     1078  100.00%           16        335
     291      110     1127   72.57%           16        336
     399        0     1251  100.00%           16        337
     288        0     1447  100.00%           16        338
     367        0     1306  100.00%           16        339
     369        0     1350  100.00%           16        341
     433        0     1228  100.00%           16        342
     556        0     1487  100.00%           16        343
     235        0     1688  100.00%           16        344
     399        0     1602  100.00%           16        345
     452        0     1532  100.00%           16        347
     462        0     1350  100.00%           16        348
     535        0     1557  100.00%           16        349
     518       37     1572   93.33%           16        351
     553       15     1496   97.36%           16        352
     440       98     1649   81.78%           16        353
     452       66     1549   87.26%           16        355
     520       40     1518   92.86%           16        357
      97        0     2479  100.00%           16        359
     379        0     2025  100.00%           16        360
     439        0     2001  100.00%           16        362
     494        1     1930   99.80%           16        364
     495       27     2022   94.83%           16        366
     477       80     1940   85.64%           16        368
     487       47     2084   91.20%           16        370
     400      126     2065   76.05%           16        372
     369      169     2218   68.59%           16        375
     442       60     2133   88.05%           16        377
     111        0     2892  100.00%           16        380
     171        0     2913  100.00%           16        382
     391        0     2556  100.00%           16        385
     426        0     2265  100.00%           16        387
     380       62     2504   85.97%           16        390
     430       39     2548   91.68%           16        393
     391       74     2669   84.09%           16        396
     382       89     2542   81.10%           16        399
     300      140     2703   68.18%           16        402
     323      122     2828   72.58%           16        405
       0        0     3661    0.00%           16        408
       0        0     3528    0.00%           16        411
     165        0     3489  100.00%           16        416
     220        0     3487  100.00%           16        419
      98       41     3969   70.50%           16        424
      76       86     4138   46.91%           16        429
       0      125     4358    0.00%           16        434
       0       68     4425    0.00%           16        441
       0       68     4413    0.00%           16        447
       0      113     4564    0.00%           16        453
       0      102     4685    0.00%           16        459
       0      103     4660    0.00%           16        465
       0       99     4696    0.00%           16        471
       0      105     4929    0.00%           16        478
       0      124     5137    0.00%           16        484
       0        0     5602    0.00%           16        492
       0        0     6553    0.00%           16        500
       0        0     5997    0.00%           16        507
       0        0     6154    0.00%           16        515
       0        0     6028    0.00%           16        522
       0        0     6321    0.00%           16        530
       0        0     6578    0.00%           16        542
       0        0     6711    0.00%           16        550
       0        0     6567    0.00%           16        558
       0        0     6460    0.00%           16        568
       0        0     6712    0.00%           16        577
       0        0     6754    0.00%           16        588
       0        0     6527    0.00%           16        596
       0        0     6756    0.00%           16        606
       0        0     7239    0.00%           16        618
       0        0     7472    0.00%           16        628
       0        0     9646    0.00%           16        639
       0        0    12334    0.00%           17        661
       0       38     7128    0.00%           17        673
     858     1487     6688   36.59%           17        686
       0        0     7413    0.00%           17        698
       0        0     7307    0.00%           17        711
       0        0     7531    0.00%           17        722
       0        0     7560    0.00%           17        736
       0        0     7318    0.00%           17        750
       0        0     7743    0.00%           17        765
       0        0     7372    0.00%           17        778
       0        0     6867    0.00%           17        792
       0    14337    28388    0.00%           17        978
   85152    61494    36525   58.07%           17        775
 1793507    10302    10354   99.43%           17        831
 1754158      841     8841   99.95%           17        843
 1708451      910     8543   99.95%           17        854
 1688046     1287     8619   99.92%           17        867
 1698302     1220     8744   99.93%           17        880
 1637183     1289     8656   99.92%           17        893
 1611751     1143     8831   99.93%           17        905
 1585383     1142     8491   99.93%           17        917
 1560998     1375     8722   99.91%           17        930
 1576527     1540     8280   99.90%           17        943
 1531877     1159     8586   99.92%           17        955
 1502705     2132     8924   99.86%           19        973
 1533946     3388     9315   99.78%           22        998
 1473715        0     9118  100.00%           22       1010
 1449346        0     8867  100.00%           22       1022
 1450235      570     9209   99.96%           22       1035
 1422407      474     8627   99.97%           22       1047
 1395646      647     8503   99.95%           22       1059
 1354315      845     8601   99.94%           22       1071
 1307701      954     8193   99.93%           22       1084
 1297059      934     8337   99.93%           22       1097
 1279416      973     8235   99.92%           22       1109
 1285222     1431    11272   99.89%           22       1125
 1267707     1367     7757   99.89%           22       1138
 1296072     2959     7598   99.77%           23       1155
 1232313     1301     7567   99.89%           23       1168
 1211874     1221     7752   99.90%           23       1180
 1230261     1249     7642   99.90%           23       1192
 1217307     1552     7513   99.87%           23       1205
 1200088     1459     7304   99.88%           23       1218
 1127767    16004    21946   98.60%           23       1344
 1088600    28032    33963   97.49%           23       1566
 1876921    66251    34300   96.59%           23       1377
 2030130    27088    33900   98.68%           24       1527
 1969149    26794    32816   98.66%           24       1607
 1665393    99636    30547   94.35%           24       1283
 1861810     5262     9258   99.72%           24       1312
 1853934        0    10142  100.00%           24       1325
 1893480       42     9309  100.00%           24       1337
 1822003      176     9242   99.99%           24       1349
 1838285      676     8817   99.96%           24       1362
 1824399      589     8473   99.97%           24       1373
 1814109      749     8989   99.96%           24       1386
 1771879     1502     8987   99.92%           24       1401
 1779282     1020     8331   99.94%           24       1413
 1823140    13300     7670   99.28%           64       1432
 1742731     1039     8561   99.94%           64       1445
 1699238     4303     8171   99.75%           67       1467
 1657554     8233     7267   99.51%           70       1496
 1756837    18045     5629   98.98%           72       1574
 1692256     8437     7764   99.50%           75       1612
  969867     1527     8758   99.84%           75       1627
  893001     1249     8031   99.86%           75       1640
  875008     1380     8157   99.84%           75       1654
  941309     1705    11659   99.82%           75       1672
  883197     1547     7903   99.83%           75       1686
  885209     1709     8308   99.81%           75       1701
  876786     1440     8112   99.84%           75       1715
  867566     1418     8143   99.84%           75       1728
  861589     1397     8085   99.84%           75       1742
  869663     1763     8366   99.80%           75       1757
  839517    11003    17154   98.71%           75       1844
  778222    33769    39641   95.84%           75       2108
 1119281    42207    16547   96.37%           75       1805
 1306014     1457     8697   99.89%           75       1819
 1275064     1287     8540   99.90%           75       1832
 1261393     1304     8756   99.90%           75       1845
 1292773     1343     8670   99.90%           75       1858
 1267908     1610     8778   99.87%           75       1873
 1265578     1572     8627   99.88%           75       1887
 1255044     1568     8841   99.88%           75       1901
 1258918     1357     8673   99.89%           75       1914
 1252563     1365     8703   99.89%           75       1927
 1243459     1533     8528   99.88%           75       1941
 1273116     1341     8307   99.89%           75       1954
 1243491     1334     8460   99.89%           75       1967
 1237676     2020     8746   99.84%           75       1983
