seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
1,1,LOOKUP,0,652572,0,60534803152561,60534803180016,60534811773308,27455,8593292
2,14,OPEN,0,652574,0,60534811814861,60534811827513,60534811853915,12652,26402
3,1,LOOKUP,0,652576,0,60534811900954,60534811919191,60534811969018,18237,49827
4,14,OPEN,0,652578,0,60534811986293,60534812005128,60534812040335,18835,35207
5,15,READ,0,652580,0,60534812436852,60534812456844,60534812595622,19992,138778
6,15,READ,0,652582,0,60534812490549,60534812511547,60534812648763,20998,137216
8,15,READ,0,652586,0,60534812549136,60534812568178,60534812698810,19042,130632
7,15,READ,0,652584,0,60534812539133,60534812565065,60534812723205,25932,158140
9,15,READ,0,652588,0,60534812601866,60534812617681,60534812740181,15815,122500
10,15,READ,0,652590,0,60534812647454,60534812659510,60534812771470,12056,111960
11,15,READ,0,652592,0,60534812684652,60534812692249,60534812774316,7597,82067
12,15,READ,0,652594,0,60534812696569,60534812706870,60534812825287,10301,118417
13,15,READ,0,652596,0,60534812736162,60534812744508,60534812845754,8346,101246
16,15,READ,0,652602,0,60534812779039,60534812786843,60534812867863,7804,81020
15,15,READ,0,652600,0,60534812765951,60534812776372,60534812873300,10421,96928
14,15,READ,0,652598,0,60534812754539,60534812768781,60534812882949,14242,114168
18,15,READ,0,652606,0,60534812811491,60534812819013,60534812905329,7522,86316
17,15,READ,0,652604,0,60534812796569,60534812811831,60534812913200,15262,101369
20,15,READ,0,652610,0,60534812868902,60534812878357,60534812968741,9455,90384
19,15,READ,0,652608,0,60534812849112,60534812865602,60534812992642,16490,127040
21,15,READ,0,652612,0,60534812916844,60534812926524,60534813034265,9680,107741
24,15,READ,0,652618,0,60534812952827,60534812959062,60534813034942,6235,75880
23,15,READ,0,652616,0,60534812941335,60534812952795,60534813055916,11460,103121
22,15,READ,0,652614,0,60534812930008,60534812938971,60534813060008,8963,121037
25,15,READ,0,652620,0,60534812965514,60534812973736,60534813066415,8222,92679
27,15,READ,0,652624,0,60534813001279,60534813009506,60534813102527,8227,93021
26,15,READ,0,652622,0,60534812982847,60534812995162,60534813103843,12315,108681
28,15,READ,0,652626,0,60534813015064,60534813029636,60534813134274,14572,104638
30,15,READ,0,652630,0,60534813077545,60534813084539,60534813159141,6994,74602
29,15,READ,0,652628,0,60534813059792,60534813067348,60534813162582,7556,95234
32,15,READ,0,652634,0,60534813102719,60534813114483,60534813201888,11764,87405
33,15,READ,0,652636,0,60534813115550,60534813120610,60534813217876,5060,97266
31,15,READ,0,652632,0,60534813089100,60534813101523,60534813218263,12423,116740
35,15,READ,0,652640,0,60534813148308,60534813153233,60534813267510,4925,114277
36,15,READ,0,652642,0,60534813165077,60534813177117,60534813268042,12040,90925
37,15,READ,0,652644,0,60534813204378,60534813210120,60534813285818,5742,75698
38,15,READ,0,652646,0,60534813216792,60534813224540,60534813319335,7748,94795
39,15,READ,0,652648,0,60534813232112,60534813238816,60534813324082,6704,85266
34,15,READ,0,652638,0,60534813128877,60534813149433,60534813335888,20556,186455
40,15,READ,0,652650,0,60534813276214,60534813281057,60534813369185,4843,88128
41,15,READ,0,652652,0,60534813288994,60534813293847,60534813380191,4853,86344
42,15,READ,0,652654,0,60534813303286,60534813314468,60534813408231,11182,93763
43,15,READ,0,652656,0,60534813320003,60534813329229,60534813414538,9226,85309
44,15,READ,0,652658,0,60534813335584,60534813347332,60534813455757,11748,108425
45,15,READ,0,652660,0,60534813349276,60534813356008,60534813459453,6732,103445
46,15,READ,0,652662,0,60534813361599,60534813371523,60534813462553,9924,91030
47,15,READ,0,652664,0,60534813373268,60534813382931,60534813494423,9663,111492
48,15,READ,0,652666,0,60534813384270,60534813392122,60534813494872,7852,102750
50,15,READ,0,652670,0,60534813414000,60534813420254,60534813519715,6254,99461
49,15,READ,0,652668,0,60534813397847,60534813408387,60534813527491,10540,119104
52,15,READ,0,652674,0,60534813438730,60534813447878,60534813536105,9148,88227
53,15,READ,0,652676,0,60534813450357,60534813457813,60534813548871,7456,91058
51,15,READ,0,652672,0,60534813425292,60534813429010,60534813555895,3718,126885
54,15,READ,0,652678,0,60534813464926,60534813473132,60534813587358,8206,114226
55,15,READ,0,652680,0,60534813484100,60534813497003,60534813591561,12903,94558
56,15,READ,0,652682,0,60534813494530,60534813504762,60534813598132,10232,93370
57,15,READ,0,652684,0,60534813510726,60534813520607,60534813618760,9881,98153
58,15,READ,0,652686,0,60534813521199,60534813530198,60534813621669,8999,91471
59,15,READ,0,652688,0,60534813534607,60534813546246,60534813658144,11639,111898
62,15,READ,0,652694,0,60534813571755,60534813580080,60534813671502,8325,91422
61,15,READ,0,652692,0,60534813558636,60534813565933,60534813672095,7297,106162
60,15,READ,0,652690,0,60534813546801,60534813551063,60534813681531,4262,130468
63,15,READ,0,652696,0,60534813619890,60534813629314,60534813735643,9424,106329
64,15,READ,0,652698,0,60534813638263,60534813648743,60534813745201,10480,96458
65,15,READ,0,652700,0,60534813650146,60534813661795,60534813761305,11649,99510
66,15,READ,0,652702,0,60534813663229,60534813670921,60534813764845,7692,93924
67,15,READ,0,652704,0,60534813680052,60534813685690,60534813787871,5638,102181
68,15,READ,0,652706,0,60534813700937,60534813712913,60534813810415,11976,97502
69,15,READ,0,652708,0,60534813714731,60534813725094,60534813820210,10363,95116
71,15,READ,0,652712,0,60534813741263,60534813747487,60534813838007,6224,90520
70,15,READ,0,652710,0,60534813726826,60534813734798,60534813840526,7972,105728
72,15,READ,0,652714,0,60534813761998,60534813773624,60534813867457,11626,93833
74,15,READ,0,652718,0,60534813820419,60534813826167,60534813918268,5748,92101
73,15,READ,0,652716,0,60534813808469,60534813820787,60534813924231,12318,103444
75,15,READ,0,652720,0,60534813838703,60534813847222,60534813925607,8519,78385
76,15,READ,0,652722,0,60534813852525,60534813856069,60534813943888,3544,87819
78,15,READ,0,652726,0,60534813880613,60534813884953,60534813974450,4340,89497
77,15,READ,0,652724,0,60534813866443,60534813880169,60534813988278,13726,108109
79,15,READ,0,652728,0,60534813899828,60534813912229,60534814021630,12401,109401
80,15,READ,0,652730,0,60534813910191,60534813917988,60534814027683,7797,109695
81,15,READ,0,652732,0,60534813924758,60534813933152,60534814038448,8394,105296
83,15,READ,0,652736,0,60534813956105,60534813962499,60534814041481,6394,78982
82,15,READ,0,652734,0,60534813941161,60534813952955,60534814048053,11794,95098
84,15,READ,0,652738,0,60534813967255,60534813983659,60534814075027,16404,91368
86,15,READ,0,652742,0,60534813988682,60534814000364,60534814089570,11682,89206
85,15,READ,0,652740,0,60534813978439,60534813994677,60534814095243,16238,100566
87,15,READ,0,652744,0,60534814002834,60534814005670,60534814125811,2836,120141
88,15,READ,0,652746,0,60534814015441,60534814030052,60534814128475,14611,98423
89,15,READ,0,652748,0,60534814031242,60534814039355,60534814131527,8113,92172
90,15,READ,0,652750,0,60534814081489,60534814086464,60534814195568,4975,109104
91,15,READ,0,652752,0,60534814094861,60534814099479,60534814212227,4618,112748
92,15,READ,0,652754,0,60534814106193,60534814131166,60534814232368,24973,101202
95,15,READ,0,652760,0,60534814157359,60534814163528,60534814239171,6169,75643
94,15,READ,0,652758,0,60534814141997,60534814150357,60534814245683,8360,95326
93,15,READ,0,652756,0,60534814120715,60534814141426,60534814249675,20711,108249
96,15,READ,0,652762,0,60534814167529,60534814173624,60534814275198,6095,101574
97,15,READ,0,652764,0,60534814178002,60534814183813,60534814280426,5811,96613
99,15,READ,0,652768,0,60534814204105,60534814211770,60534814313051,7665,101281
98,15,READ,0,652766,0,60534814192713,60534814204827,60534814314404,12114,109577
101,15,READ,0,652772,0,60534814243557,60534814249695,60534814323547,6138,73852
100,15,READ,0,652770,0,60534814226628,60534814237052,60534814349396,10424,112344
102,15,READ,0,652774,0,60534814255618,60534814264508,60534814371808,8890,107300
103,15,READ,0,652776,0,60534814272567,60534814283450,60534814375775,10883,92325
104,15,READ,0,652778,0,60534814290757,60534814302977,60534814398931,12220,95954
106,15,READ,0,652782,0,60534814324695,60534814330587,60534814425276,5892,94689
105,15,READ,0,652780,0,60534814309898,60534814321057,60534814427390,11159,106333
107,15,READ,0,652784,0,60534814341309,60534814355728,60534814471973,14419,116245
108,15,READ,0,652786,0,60534814356011,60534814363895,60534814474912,7884,111017
109,15,READ,0,652788,0,60534814370151,60534814380380,60534814475625,10229,95245
110,15,READ,0,652790,0,60534814384412,60534814390036,60534814510676,5624,120640
113,15,READ,0,652796,0,60534814426506,60534814433501,60534814523722,6995,90221
112,15,READ,0,652794,0,60534814415588,60534814425406,60534814525111,9818,99705
111,15,READ,0,652792,0,60534814403412,60534814412467,60534814526563,9055,114096
114,15,READ,0,652798,0,60534814438242,60534814444673,60534814561278,6431,116605
116,15,READ,0,652802,0,60534814454894,60534814460000,60534814566573,5106,106573
117,15,READ,0,652804,0,60534814466823,60534814482768,60534814581609,15945,98841
118,15,READ,0,652806,0,60534814479681,60534814490776,60534814588777,11095,98001
119,15,READ,0,652808,0,60534814494849,60534814503311,60534814591630,8462,88319
121,15,READ,0,652812,0,60534814525896,60534814530874,60534814612854,4978,81980
120,15,READ,0,652810,0,60534814510837,60534814529035,60534814635760,18198,106725
122,15,READ,0,652814,0,60534814538234,60534814543483,60534814641187,5249,97704
124,15,READ,0,652818,0,60534814562026,60534814619306,60534814700450,57280,81144
123,15,READ,0,652816,0,60534814548084,60534814551971,60534814722213,3887,170242
125,15,READ,0,652820,0,60534814570988,60534814631004,60534814755213,60016,124209
115,16,WRITE,0,652800,0,60534814445185,60534814455465,60534814757557,10280,302092
126,15,READ,0,652822,0,60534814584894,60534814640835,60534814822179,55941,181344
127,15,READ,0,652824,0,60534814597694,60534814735198,60534814842750,137504,107552
128,15,READ,0,652826,0,60534814611019,60534814748800,60534814859021,137781,110221
129,15,READ,0,652828,0,60534814619030,60534814761684,60534814860944,142654,99260
131,15,READ,0,652832,0,60534814640760,60534814770986,60534814868617,130226,97631
130,15,READ,0,652830,0,60534814629057,60534814770209,60534814881330,141152,111121
133,15,READ,0,652836,0,60534814710254,60534814774956,60534814882229,64702,107273
134,15,READ,0,652838,0,60534814721416,60534814786716,60534814899047,65300,112331
136,15,READ,0,652842,0,60534814755979,60534814796723,60534814901676,40744,104953
135,15,READ,0,652840,0,60534814741957,60534814789403,60534814906781,47446,117378
132,15,READ,0,652834,0,60534814649029,60534814773049,60534814933843,124020,160794
140,15,READ,0,652850,0,60534814863932,60534814877493,60534814956654,13561,79161
138,15,READ,0,652846,0,60534814833589,60534814871868,60534814961387,38279,89519
137,15,READ,0,652844,0,60534814769987,60534814799808,60534814978096,29821,178288
139,15,READ,0,652848,0,60534814850699,60534814873286,60534814983999,22587,110713
141,15,READ,0,652852,0,60534814875366,60534814882509,60534814986082,7143,103573
142,15,READ,0,652854,0,60534814897471,60534814909865,60534815015026,12394,105161
143,15,READ,0,652856,0,60534814920691,60534814932223,60534815050981,11532,118758
146,15,READ,0,652862,0,60534814964151,60534814970043,60534815058454,5892,88411
145,15,READ,0,652860,0,60534814946333,60534814954087,60534815071188,7754,117101
144,15,READ,0,652858,0,60534814933848,60534814945740,60534815076200,11892,130460
148,15,READ,0,652866,0,60534815000701,60534815007097,60534815123211,6396,116114
147,15,READ,0,652864,0,60534814984203,60534814989277,60534815130411,5074,141134
149,15,READ,0,652868,0,60534815011895,60534815022857,60534815135618,10962,112761
150,15,READ,0,652870,0,60534815025311,60534815030537,60534815142557,5226,112020
151,15,READ,0,652872,0,60534815037345,60534815048653,60534815158138,11308,109485
152,15,READ,0,652874,0,60534815055693,60534815065484,60534815174773,9791,109289
153,15,READ,0,652876,0,60534815078542,60534815083340,60534815175449,4798,92109
155,15,READ,0,652880,0,60534815103515,60534815109774,60534815201125,6259,91351
