seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
1,1,LOOKUP,0,672474,0,60636784297926,60636784331853,60636784403506,33927,71653
2,14,OPEN,0,672476,0,60636784432027,60636784472057,60636784529003,40030,56946
3,1,LOOKUP,0,672478,0,60636798349360,60636798387545,60636798441803,38185,54258
4,14,OPEN,0,672480,0,60636801059914,60636801085657,60636801145132,25743,59475
8,15,READ,0,672488,0,60636801700801,60636801721980,60636810182012,21179,8460032
10,15,READ,0,672492,0,60636801748277,60636801766732,60636810207400,18455,8440668
7,15,READ,0,672486,0,60636801658283,60636801681049,60636810209694,22766,8528645
9,15,READ,0,672490,0,60636801710798,60636801731142,60636810218851,20344,8487709
14,15,READ,0,672500,0,60636801824606,60636801840674,60636810218833,16068,8378159
16,15,READ,0,672504,0,60636801862613,60636802029039,60636810221658,166426,8192619
6,15,READ,0,672484,0,60636801646485,60636801673052,60636810229102,26567,8556050
15,15,READ,0,672502,0,60636801833930,60636801935134,60636810230265,101204,8295131
11,15,READ,0,672494,0,60636801754928,60636801779553,60636810232062,24625,8452509
5,15,READ,0,672482,0,60636801609471,60636801627974,60636810234091,18503,8606117
12,15,READ,0,672496,0,60636801766207,60636801787229,60636810234131,21022,8446902
13,15,READ,0,672498,0,60636801789813,60636801805405,60636810246710,15592,8441305
18,15,READ,0,672508,0,60636810242186,60636810252265,60636810355879,10079,103614
17,15,READ,0,672506,0,60636810195313,60636810214475,60636810383198,19162,168723
19,15,READ,0,672510,0,60636810253005,60636810262370,60636810390606,9365,128236
22,15,READ,0,672516,0,60636810294745,60636810307721,60636810423270,12976,115549
20,15,READ,0,672512,0,60636810266851,60636810277357,60636810424845,10506,147488
23,15,READ,0,672518,0,60636810334345,60636810341695,60636810429876,7350,88181
21,15,READ,0,672514,0,60636810283358,60636810291948,60636810433702,8590,141754
24,15,READ,0,672520,0,60636810342871,60636810354898,60636810469010,12027,114112
27,15,READ,0,672526,0,60636810431260,60636810434047,60636810517885,2787,83838
25,15,READ,0,672522,0,60636810373210,60636810392373,60636810526494,19163,134121
28,15,READ,0,672528,0,60636810438580,60636810444886,60636810528238,6306,83352
26,15,READ,0,672524,0,60636810385018,60636810411329,60636810543261,26311,131932
30,15,READ,0,672532,0,60636810466670,60636810476884,60636810558003,10214,81119
31,15,READ,0,672534,0,60636810476108,60636810482896,60636810584220,6788,101324
29,15,READ,0,672530,0,60636810456239,60636810464036,60636810584552,7797,120516
33,15,READ,0,672538,0,60636810495411,60636810503150,60636810610339,7739,107189
34,15,READ,0,672540,0,60636810506465,60636810516932,60636810613016,10467,96084
32,15,READ,0,672536,0,60636810487364,60636810502054,60636810630223,14690,128169
35,15,READ,0,672542,0,60636810540169,60636810546053,60636810659569,5884,113516
36,15,READ,0,672544,0,60636810549481,60636810560073,60636810660340,10592,100267
38,15,READ,0,672548,0,60636810582774,60636810590185,60636810669646,7411,79461
37,15,READ,0,672546,0,60636810572307,60636810576104,60636810679038,3797,102934
39,15,READ,0,672550,0,60636810593349,60636810599115,60636810682513,5766,83398
41,15,READ,0,672554,0,60636810619728,60636810623679,60636810708311,3951,84632
40,15,READ,0,672552,0,60636810605779,60636810619251,60636810737857,13472,118606
42,15,READ,0,672556,0,60636810639297,60636810643995,60636810747764,4698,103769
44,15,READ,0,672560,0,60636810663596,60636810671338,60636810784547,7742,113209
45,15,READ,0,672562,0,60636810704051,60636810711119,60636810790400,7068,79281
43,15,READ,0,672558,0,60636810650297,60636810663650,60636810791447,13353,127797
47,15,READ,0,672566,0,60636810729576,60636810736677,60636810831377,7101,94700
46,15,READ,0,672564,0,60636810718551,60636810724225,60636810832722,5674,108497
49,15,READ,0,672570,0,60636810750519,60636810758630,60636810840531,8111,81901
48,15,READ,0,672568,0,60636810739997,60636810750108,60636810844242,10111,94134
50,15,READ,0,672572,0,60636810764659,60636810771759,60636810862699,7100,90940
51,15,READ,0,672574,0,60636810775349,60636810783736,60636810863058,8387,79322
53,15,READ,0,672578,0,60636810809915,60636810829652,60636810865523,19737,35871
52,15,READ,0,672576,0,60636810785747,60636810793582,60636810883669,7835,90087
55,15,READ,0,672582,0,60636810834545,60636810843621,60636810930431,9076,86810
57,15,READ,0,672586,0,60636810860316,60636810869371,60636810943493,9055,74122
56,15,READ,0,672584,0,60636810844553,60636810848488,60636810944095,3935,95607
54,15,READ,0,672580,0,60636810823693,60636810844241,60636810960738,20548,116497
59,15,READ,0,672590,0,60636810885468,60636810893981,60636810981847,8513,87866
58,15,READ,0,672588,0,60636810874321,60636810882270,60636810989404,7949,107134
61,15,READ,0,672594,0,60636810909819,60636810915969,60636811003412,6150,87443
60,15,READ,0,672592,0,60636810896996,60636810909217,60636811012603,12221,103386
62,15,READ,0,672596,0,60636810935957,60636810944428,60636811025361,8471,80933
65,15,READ,0,672602,0,60636810990425,60636810998741,60636811076310,8316,77569
63,15,READ,0,672598,0,60636810956032,60636810970021,60636811091071,13989,121050
64,15,READ,0,672600,0,60636810974204,60636810988846,60636811091934,14642,103088
66,15,READ,0,672604,0,60636811003302,60636811009447,60636811093058,6145,83611
67,15,READ,0,672606,0,60636811017135,60636811022617,60636811099890,5482,77273
68,15,READ,0,672608,0,60636811036375,60636811044720,60636811132265,8345,87545
