seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
1,1,LOOKUP,0,803650,0,62991900970573,62991901024327,62991901118809,53754,94482
2,14,OPEN,0,803652,0,62991901162187,62991901198762,62991901251678,36575,52916
3,1,LOOKUP,0,803654,0,62991901169772,62991901202102,62991909987418,32330,8785316
4,14,OPEN,0,803656,0,62991910038125,62991910067985,62991910111651,29860,43666
5,1,LOOKUP,0,803658,0,62991910044733,62991910076624,62991910142551,31891,65927
6,14,OPEN,0,803660,0,62991910186813,62991910209604,62991910247292,22791,37688
7,1,LOOKUP,0,803662,0,62991910194493,62991910210938,62991910261806,16445,50868
8,14,OPEN,0,803664,0,62991910288475,62991910310529,62991910354889,22054,44360
9,1,LOOKUP,0,803666,0,62991910297930,62991910331421,62991910399087,33491,67666
10,14,OPEN,0,803668,0,62991910438922,62991910463653,62991910506600,24731,42947
11,1,LOOKUP,0,803670,0,62991910448854,62991910478969,62991910518168,30115,39199
12,14,OPEN,0,803672,0,62991910547455,62991910568556,62991910593580,21101,25024
13,1,LOOKUP,0,803674,0,62991910552129,62991910569106,62991910616697,16977,47591
14,14,OPEN,0,803676,0,62991910642713,62991910658292,62991910694138,15579,35846
15,1,LOOKUP,0,803678,0,62991910651056,62991910669459,62991910713986,18403,44527
16,1,LOOKUP,0,803680,0,62991910766653,62991910782533,62991910827088,15880,44555
18,14,OPEN,0,803684,0,62991910863431,62991910880665,62991910903913,17234,23248
17,1,LOOKUP,0,803682,0,62991910848781,62991910881401,62991910953324,32620,71923
19,14,OPEN,0,803686,0,62991910958655,62991910970624,62991910992388,11969,21764
20,14,OPEN,0,803688,0,62991910980318,62991910996443,62991911016728,16125,20285
21,1,LOOKUP,0,803690,0,62991910988298,62991911006446,62991911032363,18148,25917
22,14,OPEN,0,803692,0,62991911056576,62991911074272,62991911099010,17696,24738
23,1,LOOKUP,0,803694,0,62991911060420,62991911098160,62991911172401,37740,74241
24,14,OPEN,0,803696,0,62991911201020,62991911217000,62991911246732,15980,29732
25,1,LOOKUP,0,803698,0,62991911205793,62991911222225,62991911251987,16432,29762
26,14,OPEN,0,803700,0,62991911274350,62991911288427,62991911309766,14077,21339
27,1,LOOKUP,0,803702,0,62991911280457,62991911293658,62991911348193,13201,54535
28,14,OPEN,0,803704,0,62991911373067,62991911389224,62991911423279,16157,34055
29,1,LOOKUP,0,803706,0,62991911376640,62991911396724,62991911427783,20084,31059
31,14,OPEN,0,803710,0,62991911447634,62991911461755,62991911483861,14121,22106
32,1,LOOKUP,0,803712,0,62991911453514,62991911468213,62991911502349,14699,34136
34,14,OPEN,0,803716,0,62991911527111,62991911541619,62991911566710,14508,25091
33,1,LOOKUP,0,803714,0,62991911524493,62991911541744,62991911577275,17251,35531
35,14,OPEN,0,803718,0,62991911593102,62991911606152,62991911628724,13050,22572
36,1,LOOKUP,0,803720,0,62991911598826,62991911610793,62991911646400,11967,35607
37,14,OPEN,0,803722,0,62991911667239,62991911680431,62991911704671,13192,24240
38,1,LOOKUP,0,803724,0,62991911672700,62991911685279,62991911711492,12579,26213
30,16,WRITE,0,803708,0,62991911388219,62991911404072,62991911754939,15853,350867
39,14,OPEN,0,803726,0,62991911732298,62991911749654,62991911776064,17356,26410
40,1,LOOKUP,0,803728,0,62991911740073,62991911754719,62991911779468,14646,24749
42,14,OPEN,0,803732,0,62991911801146,62991911815835,62991911830008,14689,14173
43,1,LOOKUP,0,803734,0,62991911804715,62991911821656,62991911859351,16941,37695
44,14,OPEN,0,803736,0,62991911881522,62991911896242,62991911915872,14720,19630
45,1,LOOKUP,0,803738,0,62991911887402,62991911901001,62991911928408,13599,27407
46,14,OPEN,0,803740,0,62991911948524,62991911960651,62991911978776,12127,18125
47,1,LOOKUP,0,803742,0,62991911953767,62991911965416,62991911989075,11649,23659
48,14,OPEN,0,803744,0,62991912003968,62991912016096,62991912037483,12128,21387
49,1,LOOKUP,0,803746,0,62991912009343,62991912022562,62991912048690,13219,26128
50,14,OPEN,0,803748,0,62991912070905,62991912084440,62991912109238,13535,24798
51,1,LOOKUP,0,803750,0,62991912074425,62991912087505,62991912113276,13080,25771
52,14,OPEN,0,803752,0,62991912133502,62991912149322,62991912182170,15820,32848
53,1,LOOKUP,0,803754,0,62991912138470,62991912151888,62991912197297,13418,45409
54,14,OPEN,0,803756,0,62991912218685,62991912231153,62991912249895,12468,18742
55,1,LOOKUP,0,803758,0,62991912224001,62991912236868,62991912268243,12867,31375
56,14,OPEN,0,803760,0,62991912286336,62991912304167,62991912323136,17831,18969
57,1,LOOKUP,0,803762,0,62991912294902,62991912309790,62991912349595,14888,39805
58,14,OPEN,0,803764,0,62991912374208,62991912387740,62991912406796,13532,19056
59,1,LOOKUP,0,803766,0,62991912378604,62991912393392,62991912421070,14788,27678
60,14,OPEN,0,803768,0,62991912447310,62991912459825,62991912480492,12515,20667
61,1,LOOKUP,0,803770,0,62991912451198,62991912467409,62991912501184,16211,33775
63,14,OPEN,0,803774,0,62991912528012,62991912539055,62991912554828,11043,15773
62,1,LOOKUP,0,803772,0,62991912523700,62991912534200,62991912563334,10500,29134
64,14,OPEN,0,803776,0,62991912576401,62991912588506,62991912609713,12105,21207
65,1,LOOKUP,0,803778,0,62991912580610,62991912592159,62991912615706,11549,23547
66,14,OPEN,0,803780,0,62991912634489,62991912645091,62991912664442,10602,19351
67,1,LOOKUP,0,803782,0,62991912639706,62991912651713,62991912675642,12007,23929
68,14,OPEN,0,803784,0,62991912696088,62991912709319,62991912730342,13231,21023
69,1,LOOKUP,0,803786,0,62991912699539,62991912710378,62991912736812,10839,26434
70,14,OPEN,0,803788,0,62991912756729,62991912770717,62991912789028,13988,18311
71,1,LOOKUP,0,803790,0,62991912760055,62991912774937,62991912812336,14882,37399
72,14,OPEN,0,803792,0,62991912828214,62991912841109,62991912859140,12895,18031
73,1,LOOKUP,0,803794,0,62991912832519,62991912846139,62991912873994,13620,27855
74,14,OPEN,0,803796,0,62991912894178,62991912909308,62991912924528,15130,15220
75,1,LOOKUP,0,803798,0,62991912900952,62991912913861,62991912937971,12909,24110
76,14,OPEN,0,803800,0,62991912960687,62991912972648,62991912990771,11961,18123
77,1,LOOKUP,0,803802,0,62991912964524,62991912976880,62991913002500,12356,25620
79,14,OPEN,0,803806,0,62991913028086,62991913041362,62991913055925,13276,14563
78,1,LOOKUP,0,803804,0,62991913025202,62991913038941,62991913071277,13739,32336
80,14,OPEN,0,803808,0,62991913085473,62991913101780,62991913131364,16307,29584
81,1,LOOKUP,0,803810,0,62991913090432,62991913102992,62991913135583,12560,32591
82,14,OPEN,0,803812,0,62991913156410,62991913170462,62991913192790,14052,22328
83,1,LOOKUP,0,803814,0,62991913161797,62991913173136,62991913204903,11339,31767
84,14,OPEN,0,803816,0,62991913219524,62991913228925,62991913246278,9401,17353
85,1,LOOKUP,0,803818,0,62991913222944,62991913235864,62991913260116,12920,24252
86,14,OPEN,0,803820,0,62991913281627,62991913295745,62991913318714,14118,22969
87,1,LOOKUP,0,803822,0,62991913285244,62991913297574,62991913327929,12330,30355
88,14,OPEN,0,803824,0,62991913349928,62991913363900,62991913387124,13972,23224
89,1,LOOKUP,0,803826,0,62991913354748,62991913367966,62991913390562,13218,22596
90,14,OPEN,0,803828,0,62991913413150,62991913429222,62991913460574,16072,31352
91,1,LOOKUP,0,803830,0,62991913418635,62991913432370,62991913462030,13735,29660
93,14,OPEN,0,803834,0,62991913487321,62991913499159,62991913517071,11838,17912
92,1,LOOKUP,0,803832,0,62991913483703,62991913494733,62991913524274,11030,29541
94,14,OPEN,0,803836,0,62991913539715,62991913551310,62991913569826,11595,18516
95,1,LOOKUP,0,803838,0,62991913542907,62991913554125,62991913581242,11218,27117
96,14,OPEN,0,803840,0,62991913601452,62991913613241,62991913631665,11789,18424
97,1,LOOKUP,0,803842,0,62991913606570,62991913617050,62991913639609,10480,22559
98,14,OPEN,0,803844,0,62991913659754,62991913672960,62991913696651,13206,23691
99,1,LOOKUP,0,803846,0,62991913664273,62991913676980,62991913702147,12707,25167
100,14,OPEN,0,803848,0,62991913724567,62991913742363,62991913763310,17796,20947
101,1,LOOKUP,0,803850,0,62991913727934,62991913741545,62991913771680,13611,30135
102,14,OPEN,0,803852,0,62991913785616,62991913795825,62991913816209,10209,20384
103,1,LOOKUP,0,803854,0,62991913790105,62991913802110,62991913824492,12005,22382
104,14,OPEN,0,803856,0,62991913844676,62991913856879,62991913876906,12203,20027
105,1,LOOKUP,0,803858,0,62991913847826,62991913860487,62991913886382,12661,25895
106,14,OPEN,0,803860,0,62991913906812,62991913917436,62991913935247,10624,17811
107,1,LOOKUP,0,803862,0,62991913911351,62991913925066,62991913952133,13715,27067
108,14,OPEN,0,803864,0,62991913966984,62991913979511,62991914001611,12527,22100
109,1,LOOKUP,0,803866,0,62991913971100,62991913985004,62991914014546,13904,29542
110,14,OPEN,0,803868,0,62991914036390,62991914050232,62991914068278,13842,18046
111,1,LOOKUP,0,803870,0,62991914041945,62991914055028,62991914082086,13083,27058
112,14,OPEN,0,803872,0,62991914103336,62991914115471,62991914133894,12135,18423
113,1,LOOKUP,0,803874,0,62991914106932,62991914119110,62991914143781,12178,24671
115,14,OPEN,0,803878,0,62991914169715,62991914181933,62991914196268,12218,14335
114,1,LOOKUP,0,803876,0,62991914164912,62991914177954,62991914213330,13042,35376
116,14,OPEN,0,803880,0,62991914229341,62991914242244,62991914267072,12903,24828
117,1,LOOKUP,0,803882,0,62991914234415,62991914246281,62991914270784,11866,24503
118,14,OPEN,0,803884,0,62991914289495,62991914302619,62991914327126,13124,24507
119,1,LOOKUP,0,803886,0,62991914292617,62991914303853,62991914333652,11236,29799
120,14,OPEN,0,803888,0,62991914349084,62991914359181,62991914376829,10097,17648
121,1,LOOKUP,0,803890,0,62991914353489,62991914365452,62991914389694,11963,24242
122,14,OPEN,0,803892,0,62991914413092,62991914426090,62991914442540,12998,16450
123,1,LOOKUP,0,803894,0,62991914416640,62991914429126,62991914453627,12486,24501
124,14,OPEN,0,803896,0,62991914472574,62991914484574,62991914503565,12000,18991
41,20,FSYNC,0,803730,0,62991911779152,62991911785181,62991920682163,6029,8896982
125,15,READ,0,803898,0,62991920741812,62991920761752,62991920974636,19940,212884
126,15,READ,0,803900,0,62991921013470,62991921026328,62991921164120,12858,137792
127,15,READ,0,803902,0,62991921197542,62991921231977,62991921363067,34435,131090
128,15,READ,0,803904,0,62991921398018,62991921408063,62991921507358,10045,99295
129,15,READ,0,803906,0,62991921533588,62991921546972,62991921661024,13384,114052
130,15,READ,0,803908,0,62991921691015,62991921730230,62991921866876,39215,136646
131,15,READ,0,803910,0,62991921905477,62991921929693,62991922039405,24216,109712
132,15,READ,0,803912,0,62991922071124,62991922086215,62991922221451,15091,135236
133,15,READ,0,803914,0,62991922262048,62991922273684,62991922367973,11636,94289
134,15,READ,0,803916,0,62991922397948,62991922415677,62991922541769,17729,126092
135,15,READ,0,803918,0,62991922572121,62991922584827,62991922704462,12706,119635
136,15,READ,0,803920,0,62991922734651,62991922745891,62991922838456,11240,92565
137,15,READ,0,803922,0,62991922868335,62991922880993,62991922979310,12658,98317
138,15,READ,0,803924,0,62991923015979,62991923024798,62991923102412,8819,77614
139,15,READ,0,803926,0,62991923127268,62991923140815,62991923253497,13547,112682
140,15,READ,0,803928,0,62991923283210,62991923296433,62991923391020,13223,94587
141,15,READ,0,803930,0,62991923420252,62991923435753,62991923532912,15501,97159
142,15,READ,0,803932,0,62991923563608,62991923577316,62991923674240,13708,96924
143,15,READ,0,803934,0,62991923706937,62991923718673,62991923821694,11736,103021
