seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
1,1,LOOKUP,0,717336,0,62861413451610,62861413488225,62861413582749,36615,94524
3,14,OPEN,0,717340,0,62861413697178,62861413731386,62861413778489,34208,47103
2,1,LOOKUP,0,717338,0,62861413687359,62861413726117,62861413844495,38758,118378
4,14,OPEN,0,717342,0,62861413902329,62861413932813,62861413972327,30484,39514
5,1,LOOKUP,0,717344,0,62861413906861,62861413940979,62861414004330,34118,63351
7,14,OPEN,0,717348,0,62861414057837,62861414074157,62861414106723,16320,32566
6,1,LOOKUP,0,717346,0,62861414052720,62861414067967,62861414109767,15247,41800
8,14,OPEN,0,717350,0,62861414130629,62861414147962,62861414166685,17333,18723
9,1,LOOKUP,0,717352,0,62861414137527,62861414163214,62861414245239,25687,82025
10,14,OPEN,0,717354,0,62861414292334,62861414311293,62861414333829,18959,22536
11,1,LOOKUP,0,717356,0,62861414295875,62861414322854,62861414387568,26979,64714
12,14,OPEN,0,717358,0,62861414433169,62861414447898,62861414469938,14729,22040
13,1,LOOKUP,0,717360,0,62861414438346,62861414459869,62861414516220,21523,56351
14,14,OPEN,0,717362,0,62861414566655,62861414580659,62861414599149,14004,18490
15,1,LOOKUP,0,717364,0,62861414572010,62861414587522,62861414616894,15512,29372
16,14,OPEN,0,717366,0,62861414641925,62861414654230,62861414667905,12305,13675
17,1,LOOKUP,0,717368,0,62861414647501,62861414665220,62861414757050,17719,91830
18,14,OPEN,0,717370,0,62861414786764,62861414804799,62861414848567,18035,43768
19,1,LOOKUP,0,717372,0,62861414793049,62861414806156,62861414852546,13107,46390
20,14,OPEN,0,717374,0,62861414874773,62861414889601,62861414914005,14828,24404
21,1,LOOKUP,0,717376,0,62861414882722,62861414897942,62861414925909,15220,27967
22,14,OPEN,0,717378,0,62861414946940,62861414959323,62861414975800,12383,16477
23,1,LOOKUP,0,717380,0,62861414971919,62861414983687,62861415041370,11768,57683
24,14,OPEN,0,717382,0,62861415070465,62861415083777,62861415103675,13312,19898
26,14,OPEN,0,717386,0,62861415091604,62861415103651,62861415113787,12047,10136
25,1,LOOKUP,0,717384,0,62861415075744,62861415098999,62861415126607,23255,27608
27,14,OPEN,0,717388,0,62861415149426,62861415162938,62861415190926,13512,27988
28,1,LOOKUP,0,717390,0,62861415163390,62861415180302,62861415216305,16912,36003
30,14,OPEN,0,717394,0,62861415261468,62861415274890,62861415293718,13422,18828
31,1,LOOKUP,0,717396,0,62861415268752,62861415282546,62861415312393,13794,29847
33,14,OPEN,0,717400,0,62861415342121,62861415354629,62861415375836,12508,21207
34,1,LOOKUP,0,717402,0,62861415346409,62861415359864,62861415402584,13455,42720
35,14,OPEN,0,717404,0,62861415423407,62861415432288,62861415444460,8881,12172
36,1,LOOKUP,0,717406,0,62861415427919,62861415441239,62861415467545,13320,26306
37,14,OPEN,0,717408,0,62861415490177,62861415504608,62861415539448,14431,34840
38,1,LOOKUP,0,717410,0,62861415495241,62861415508629,62861415541076,13388,32447
39,14,OPEN,0,717412,0,62861415560631,62861415570024,62861415580115,9393,10091
40,1,LOOKUP,0,717414,0,62861415566492,62861415578238,62861415607757,11746,29519
41,14,OPEN,0,717416,0,62861415620221,62861415630653,62861415648416,10432,17763
42,1,LOOKUP,0,717418,0,62861415630577,62861415643084,62861415670200,12507,27116
