seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
1,1,LOOKUP,0,760342,0,62933782827053,62933782865299,62933782949158,38246,83859
3,14,OPEN,0,760346,0,62933782995604,62933783030475,62933783076093,34871,45618
2,1,LOOKUP,0,760344,0,62933782988329,62933783024052,62933783092937,35723,68885
4,14,OPEN,0,760348,0,62933783121240,62933783140112,62933783191222,18872,51110
5,1,LOOKUP,0,760350,0,62933783126193,62933783157136,62933783222346,30943,65210
6,14,OPEN,0,760352,0,62933783262347,62933783293600,62933783336634,31253,43034
7,1,LOOKUP,0,760354,0,62933783280012,62933783300455,62933783364226,20443,63771
8,14,OPEN,0,760356,0,62933783392173,62933783415345,62933783461927,23172,46582
9,1,LOOKUP,0,760358,0,62933783400021,62933783425100,62933783469963,25079,44863
10,14,OPEN,0,760360,0,62933783490986,62933783516277,62933783546125,25291,29848
11,1,LOOKUP,0,760362,0,62933783498026,62933783524290,62933783597407,26264,73117
12,14,OPEN,0,760364,0,62933783636859,62933783656150,62933783686928,19291,30778
13,1,LOOKUP,0,760366,0,62933783640530,62933783657317,62933783697624,16787,40307
15,14,OPEN,0,760370,0,62933783722016,62933783736795,62933783756242,14779,19447
14,1,LOOKUP,0,760368,0,62933783717532,62933783731111,62933783769838,13579,38727
16,14,OPEN,0,760372,0,62933783822181,62933783839864,62933783868192,17683,28328
17,1,LOOKUP,0,760374,0,62933783830733,62933783847941,62933783898207,17208,50266
18,14,OPEN,0,760376,0,62933783923395,62933783935562,62933783956306,12167,20744
19,1,LOOKUP,0,760378,0,62933783953514,62933783971201,62933784001892,17687,30691
20,14,OPEN,0,760380,0,62933784042007,62933784058047,62933784082602,16040,24555
22,14,OPEN,0,760384,0,62933784070902,62933784088182,62933784108857,17280,20675
21,1,LOOKUP,0,760382,0,62933784062951,62933784079909,62933784113517,16958,33608
23,14,OPEN,0,760386,0,62933784139372,62933784156211,62933784182955,16839,26744
24,1,LOOKUP,0,760388,0,62933784148304,62933784162948,62933784192851,14644,29903
26,14,OPEN,0,760392,0,62933784226538,62933784241665,62933784257569,15127,15904
25,1,LOOKUP,0,760390,0,62933784222886,62933784237085,62933784276144,14199,39059
28,14,OPEN,0,760396,0,62933784305776,62933784321451,62933784340231,15675,18780
29,1,LOOKUP,0,760398,0,62933784310211,62933784329455,62933784355046,19244,25591
31,14,OPEN,0,760402,0,62933784375894,62933784396473,62933784418513,20579,22040
32,1,LOOKUP,0,760404,0,62933784388173,62933784406324,62933784433952,18151,27628
33,14,OPEN,0,760406,0,62933784458935,62933784474438,62933784497807,15503,23369
34,1,LOOKUP,0,760408,0,62933784462208,62933784475046,62933784499011,12838,23965
35,14,OPEN,0,760410,0,62933784519801,62933784533905,62933784556081,14104,22176
36,1,LOOKUP,0,760412,0,62933784522821,62933784535062,62933784576636,12241,41574
27,16,WRITE,0,760394,0,62933784251985,62933784265281,62933784601864,13296,336583
37,14,OPEN,0,760414,0,62933784597784,62933784611463,62933784630418,13679,18955
38,1,LOOKUP,0,760416,0,62933784600823,62933784611523,62933784643411,10700,31888
40,14,OPEN,0,760420,0,62933784671466,62933784688689,62933784708753,17223,20064
41,1,LOOKUP,0,760422,0,62933784675713,62933784687833,62933784711472,12120,23639
42,14,OPEN,0,760424,0,62933784734540,62933784750263,62933784777555,15723,27292
43,1,LOOKUP,0,760426,0,62933784740831,62933784757511,62933784788898,16680,31387
44,14,OPEN,0,760428,0,62933784817490,62933784830565,62933784851169,13075,20604
45,1,LOOKUP,0,760430,0,62933784822677,62933784837053,62933784873071,14376,36018
47,14,OPEN,0,760434,0,62933784902151,62933784918434,62933784941590,16283,23156
46,1,LOOKUP,0,760432,0,62933784898908,62933784911666,62933784946306,12758,34640
48,14,OPEN,0,760436,0,62933784967718,62933784982804,62933785004157,15086,21353
49,1,LOOKUP,0,760438,0,62933784976241,62933784990124,62933785015807,13883,25683
50,14,OPEN,0,760440,0,62933785039060,62933785053131,62933785078359,14071,25228
51,1,LOOKUP,0,760442,0,62933785042115,62933785057547,62933785096534,15432,38987
52,14,OPEN,0,760444,0,62933785119757,62933785131065,62933785149212,11308,18147
53,1,LOOKUP,0,760446,0,62933785123768,62933785136292,62933785161291,12524,24999
54,14,OPEN,0,760448,0,62933785183012,62933785196018,62933785217782,13006,21764
55,1,LOOKUP,0,760450,0,62933785185684,62933785198282,62933785232650,12598,34368
56,14,OPEN,0,760452,0,62933785252565,62933785265921,62933785286781,13356,20860
57,1,LOOKUP,0,760454,0,62933785258654,62933785276701,62933785305172,18047,28471
58,14,OPEN,0,760456,0,62933785332159,62933785346118,62933785370686,13959,24568
59,1,LOOKUP,0,760458,0,62933785335231,62933785352267,62933785403705,17036,51438
60,14,OPEN,0,760460,0,62933785433996,62933785452315,62933785476111,18319,23796
61,1,LOOKUP,0,760462,0,62933785436820,62933785456395,62933785480083,19575,23688
62,14,OPEN,0,760464,0,62933785498635,62933785519130,62933785536969,20495,17839
63,1,LOOKUP,0,760466,0,62933785501523,62933785513970,62933785549829,12447,35859
64,14,OPEN,0,760468,0,62933785567196,62933785579389,62933785598600,12193,19211
65,1,LOOKUP,0,760470,0,62933785572857,62933785591303,62933785621183,18446,29880
66,14,OPEN,0,760472,0,62933785659378,62933785674737,62933785697729,15359,22992
67,1,LOOKUP,0,760474,0,62933785667426,62933785686162,62933785725065,18736,38903
68,14,OPEN,0,760476,0,62933785748124,62933785759180,62933785774873,11056,15693
69,1,LOOKUP,0,760478,0,62933785753603,62933785766959,62933785792127,13356,25168
70,14,OPEN,0,760480,0,62933785815553,62933785828897,62933785851101,13344,22204
71,1,LOOKUP,0,760482,0,62933785819129,62933785831870,62933785864005,12741,32135
72,14,OPEN,0,760484,0,62933785883156,62933785897228,62933785919635,14072,22407
73,1,LOOKUP,0,760486,0,62933785885836,62933785898608,62933785922854,12772,24246
76,14,OPEN,0,760492,0,62933785956805,62933785967029,62933785977514,10224,10485
74,14,OPEN,0,760488,0,62933785941538,62933785956498,62933785980701,14960,24203
75,14,OPEN,0,760490,0,62933785950190,62933785968354,62933785991960,18164,23606
77,14,OPEN,0,760494,0,62933785969754,62933785985329,62933785998313,15575,12984
78,14,OPEN,0,760496,0,62933785977929,62933785988905,62933786006061,10976,17156
79,1,LOOKUP,0,760498,0,62933785999573,62933786009293,62933786048088,9720,38795
80,14,OPEN,0,760500,0,62933786038739,62933786052039,62933786070522,13300,18483
82,14,OPEN,0,760504,0,62933786074906,62933786083347,62933786097721,8441,14374
81,1,LOOKUP,0,760502,0,62933786071549,62933786081802,62933786119014,10253,37212
83,14,OPEN,0,760506,0,62933786133759,62933786146537,62933786176163,12778,29626
84,1,LOOKUP,0,760508,0,62933786136381,62933786149000,62933786179011,12619,30011
85,14,OPEN,0,760510,0,62933786197531,62933786210067,62933786246750,12536,36683
86,1,LOOKUP,0,760512,0,62933786201727,62933786215783,62933786247302,14056,31519
88,14,OPEN,0,760516,0,62933786264582,62933786276225,62933786291728,11643,15503
89,1,LOOKUP,0,760518,0,62933786267821,62933786279328,62933786305772,11507,26444
90,14,OPEN,0,760520,0,62933786324136,62933786338968,62933786362266,14832,23298
91,1,LOOKUP,0,760522,0,62933786326524,62933786340227,62933786377238,13703,37011
96,14,OPEN,0,760532,0,62933786396314,62933786412297,62933786429861,15983,17564
97,1,LOOKUP,0,760534,0,62933786399733,62933786414257,62933786441928,14524,27671
98,14,OPEN,0,760536,0,62933786462492,62933786475668,62933786498955,13176,23287
99,1,LOOKUP,0,760538,0,62933786467148,62933786481968,62933786504714,14820,22746
100,14,OPEN,0,760540,0,62933786529109,62933786544993,62933786562905,15884,17912
101,1,LOOKUP,0,760542,0,62933786532661,62933786546726,62933786571640,14065,24914
102,14,OPEN,0,760544,0,62933786596148,62933786608391,62933786630915,12243,22524
103,1,LOOKUP,0,760546,0,62933786599068,62933786609979,62933786636038,10911,26059
105,1,LOOKUP,0,760550,0,62933786655206,62933786669042,62933786707716,13836,38674
104,14,OPEN,0,760548,0,62933786652651,62933786668194,62933786719341,15543,51147
106,14,OPEN,0,760552,0,62933786728296,62933786742180,62933786765320,13884,23140
107,1,LOOKUP,0,760554,0,62933786731328,62933786743991,62933786768231,12663,24240
108,14,OPEN,0,760556,0,62933786787011,62933786800546,62933786820130,13535,19584
109,1,LOOKUP,0,760558,0,62933786790302,62933786803771,62933786826530,13469,22759
110,14,OPEN,0,760560,0,62933786844809,62933786857712,62933786877089,12903,19377
111,1,LOOKUP,0,760562,0,62933786847969,62933786859300,62933786881660,11331,22360
112,14,OPEN,0,760564,0,62933786899716,62933786913712,62933786939338,13996,25626
113,14,OPEN,0,760566,0,62933786907019,62933786933546,62933786961894,26527,28348
114,14,OPEN,0,760568,0,62933786923439,62933786943582,62933786971954,20143,28372
115,14,OPEN,0,760570,0,62933786931002,62933786946727,62933787027764,15725,81037
117,14,OPEN,0,760574,0,62933786957290,62933787034112,62933787057004,76822,22892
