Script started on 2025-11-17 06:43:25+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   84378   340021   124501   19.88%          103       2204
    1327   121545   120933    1.08%          105       3149
       0    34094   122066    0.00%          105       4102
       0    15267   133653    0.00%          107       5055
       0    26373   122870    0.00%          107       6013
       0    59525   121876    0.00%          108       6965
       0    26947   120901    0.00%          109       7909
       0    27171   121804    0.00%          110       8859
       0    83544   127978    0.00%          111       9791
       0    76296   120695    0.00%          112      10734
       0    58017   122762    0.00%          113      11692
       0    27097   121357    0.00%          114      12639
       0    50567   119878    0.00%          115      13575
       0    44726   131129    0.00%          116      14519
   22322   115248   121341   16.23%          117      15442
   93069   118651   119678   43.96%          118      16371
       0    70321   120983    0.00%          120      17341
       0    29034   122014    0.00%          121      18293
       0    49507   125958    0.00%          123      19195
       0    24995   114831    0.00%          124      20091
       0    25507   113377    0.00%          125      20976
       0    29448   113527    0.00%          126      21863
   19188   112952   112754   14.52%          127      22743
       0    40214   122430    0.00%          128      23630
       0    47876   115262    0.00%          128      24500
       0    84623   113512    0.00%          129      25378
   36929   111854   111935   24.82%          130      26251
   42498   109461   109390   27.97%          131      27105
       0    25195   123432    0.00%          132      27984
       0    58972   114972    0.00%          133      28854
       0    93235   112962    0.00%          134      29726
       0    24717   114172    0.00%          135      30617
       0    25029   114465    0.00%          135      31509
       0    49549   121869    0.00%          136      32398
       0    26227   113076    0.00%          138      33281
       0    70721   111744    0.00%          138      34153
       0    55155   114519    0.00%          139      35047
    6206   111646   111435    5.27%          140      35917
       0    76492   122147    0.00%          141      36805
   44680   106086   111462   29.64%          142      37654
   27630   111300   112939   19.89%          143      38528
       0    25442   115920    0.00%          144      39431
       0    25965   116576    0.00%          145      40341
    2737    92692   110296    2.87%          146      41132
  128177       45      118   99.96%          146      41133

Script done on 2025-11-17 06:44:13+00:00 [COMMAND_EXIT_CODE="143"]
