Script started on 2025-11-17 06:41:44+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   191949   106290    0.00%           54       1729
       0    18003    94342    0.00%           55       2419
       0    47946   103827    0.00%           57       3168
       0    19321   104520    0.00%           58       3856
       0    17002    97186    0.00%           58       4571
       0    18616   105972    0.00%           59       5345
       0    35101   118009    0.00%           61       6215
       0    37016   117295    0.00%           62       7080
       0    39868   122947    0.00%           63       7923
       0    75882   113527    0.00%           64       8756
       0    19406   117022    0.00%           65       9617
       0    49611   114351    0.00%           66      10432
       0    19841   111133    0.00%           67      11257
       0    10831   122528    0.00%           68      12096
       0    20519   117988    0.00%           69      12963
       0    19707   116653    0.00%           69      13818
       0    43324   119071    0.00%           70      14693
       0    28109   117603    0.00%           71      15554
       0    46093   125445    0.00%           72      16377
       0    32197   115901    0.00%           73      17213
   56135   109221   122875   33.95%           74      18090
   41761   111049   118674   27.33%           75      18963
       0    87629   115845    0.00%           75      19817
       0     8934   132301    0.00%           77      20705
       0    18976   119083    0.00%           77      21568
       0    18898   117304    0.00%           78      22429
       0    50661   116492    0.00%           79      23284
       0    64688   122664    0.00%           80      24184
       0    10948   123228    0.00%           81      25030
       0    39174   128328    0.00%           82      25880
       0    20523   118098    0.00%           82      26747
       0    19011   112934    0.00%           83      27578
       0    59632   113259    0.00%           84      28411
       0    59798   118685    0.00%           85      29219
   38126   105267   112602   26.59%           86      30050
   46074   104468   112243   30.61%           87      30873
       0    81029   120490    0.00%           88      31759
       0    19816   118530    0.00%           88      32630
       0     9935   128653    0.00%           89      33497
       0    49065   113750    0.00%           90      34315
       0    19564   113293    0.00%           91      35154
       0    19582   114442    0.00%           92      35996
       0    20027   118488    0.00%           93      36867
       0    11842   121174    0.00%           94      37704
       0    20385   121520    0.00%           95      38599
       0    21305   121771    0.00%           95      39497
       0    82639   119716    0.00%           96      40377
   48838   108215   115615   31.10%           97      41231
  111154    44720    68085   71.31%           98      41651
  125911       48      115   99.96%           98      41651

Script done on 2025-11-17 06:42:36+00:00 [COMMAND_EXIT_CODE="143"]
