Script started on 2025-11-17 06:37:33+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  220251    61665    53625   78.13%           61        873
       0    15900    66643    0.00%           61       1392
       0    47294    65903    0.00%           62       1906
       0    35961    76932    0.00%           63       2420
       0    15250    67333    0.00%           63       2945
       0    14759    66228    0.00%           64       3461
       0    14931    67270    0.00%           64       3987
       0    14848    67210    0.00%           65       4510
       0    47622    71193    0.00%           65       5002
       0    16800    69029    0.00%           66       5522
       0    14376    69043    0.00%           66       6054
       0    14777    67239    0.00%           67       6580
       0    14795    68837    0.00%           67       7114
    6758    65345    72735    9.37%           68       7629
  109896    63646    63646   63.33%           68       8126
       0    16158    67668    0.00%           69       8655
       0    31198    67198    0.00%           70       9178
       0    63702    66993    0.00%           70       9702
       0    40338    73421    0.00%           71      10215
       0    14422    67397    0.00%           71      10739
       0    15160    67070    0.00%           72      11263
       0    15147    68089    0.00%           72      11794
       0    14931    67436    0.00%           73      12318
       0     8267    72711    0.00%           74      12836
       0    14435    68318    0.00%           74      13362
       0    14955    67571    0.00%           75      13888
   14050    64737    64858   17.83%           75      14393
       0    47619    66253    0.00%           76      14908
       0    39418    72566    0.00%           76      15424
       0    44866    68200    0.00%           77      15933
       0    26616    67271    0.00%           77      16450
       0    14279    66571    0.00%           78      16965
       0    14984    67683    0.00%           78      17489
       0    62528    71630    0.00%           79      17996
       0    61386    64953    0.00%           79      18502
       0    28184    66905    0.00%           80      19023
   63175    64391    64338   49.52%           80      19526
   76804    65799    65769   53.86%           81      20038
   28502    55342    73424   33.99%           82      20540
       0    25856    67483    0.00%           82      21061
       0    14404    66970    0.00%           83      21576
       0    46916    67101    0.00%           83      22099
       0    46449    65709    0.00%           84      22608
       0     7953    72968    0.00%           84      23125
       0    12880    68939    0.00%           85      23652
       0    13360    68488    0.00%           85      24168
       0    14109    67896    0.00%           86      24692
       0    14704    68173    0.00%           86      25224
       0    40982    72984    0.00%           87      25741
       0    47291    65217    0.00%           87      26248
       0    14850    68205    0.00%           88      26781
       0    46961    65313    0.00%           88      27291
       0    47183    66518    0.00%           89      27809
       0    22172    71158    0.00%           90      28312
       0    29089    66273    0.00%           90      28831
       0    28895    65826    0.00%           91      29345
       0    37723    63616    0.00%           91      29838
       0    30680    66874    0.00%           92      30362
   14234    62050    70515   18.66%           92      30856
   75080    61738    63242   54.88%           93      31344
   81997    61613    65607   57.10%           93      31840
       0    18549    67906    0.00%           94      32362
       0    14377    68673    0.00%           94      32898
       0     5999    74976    0.00%           95      33412
       0    14388    67635    0.00%           95      33935
       0    17212    68711    0.00%           96      34452
  157129    74262    65798   67.91%          137      34957
       0    14814    68576    0.00%          137      35488
       0    42779    70440    0.00%          138      35992
       0    34696    65773    0.00%          139      36600
       0    16239    67679    0.00%          139      37127
       0    17252    66838    0.00%          140      37649
       0    15498    67950    0.00%          140      38177
       0    10283    72857    0.00%          141      38706
   52487    67430    66721   43.77%          142      39226
       0    15159    68436    0.00%          142      39758
       0    29137    68094    0.00%          143      40291
       0    29657    68001    0.00%          143      40821
   17797    53605    59783   24.93%          144      41256
  128840       38      113   99.97%          144      41256
  128615       45      114   99.97%          144      41256

Script done on 2025-11-17 06:38:56+00:00 [COMMAND_EXIT_CODE="143"]
