Script started on 2025-11-17 06:39:33+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   65462    65394    57390   50.03%           55        866
       0    15155    63731    0.00%           56       1363
       0    15144    65067    0.00%           56       1870
       0     4243    77920    0.00%           57       2392
       0    14936    67328    0.00%           57       2917
       0    15118    68296    0.00%           58       3451
       0    15445    67293    0.00%           59       3974
       0    15584    67374    0.00%           59       4499
       0    51062    72945    0.00%           60       5002
       0    13244    69870    0.00%           61       5531
       0    14501    68504    0.00%           61       6061
       0    15209    67724    0.00%           62       6583
       0    14814    67845    0.00%           62       7115
       0    16253    72738    0.00%           63       7629
   67847    67577    67507   50.10%           63       8155
       0    15277    67407    0.00%           64       8682
       0    14968    67682    0.00%           64       9207
       0    15053    68469    0.00%           65       9742
       0    39263    73989    0.00%           65      10259
       0    14906    67905    0.00%           66      10789
       0    15112    67781    0.00%           66      11318
       0    14603    67465    0.00%           67      11844
       0    15008    68037    0.00%           67      12376
       0     8081    73198    0.00%           68      12893
       0    14010    68413    0.00%           68      13417
       0    14846    66721    0.00%           69      13933
       0    15046    67218    0.00%           70      14457
       0    14803    68674    0.00%           70      14992
       0    39787    72253    0.00%           71      15506
       0    12161    69300    0.00%           71      16021
       0    26722    66821    0.00%           72      16532
       0    14604    67560    0.00%           72      17056
       0    28157    67172    0.00%           73      17578
       0    17410    71131    0.00%           73      18079
       0    28926    66505    0.00%           74      18600
       0    47950    66366    0.00%           74      19118
   78167    63234    63187   55.28%           75      19608
   80963    68049    67990   54.33%           75      20141
       0    46472    73954    0.00%           76      20645
       0    58009    66967    0.00%           77      21160
       0    14217    68192    0.00%           77      21688
       0    15104    67600    0.00%           78      22212
       0    15062    67216    0.00%           78      22735
       0     7863    71758    0.00%           79      23244
       0    12750    68839    0.00%           79      23764
       0    13212    68655    0.00%           80      24287
       0    14331    68116    0.00%           80      24814
       0    14423    66965    0.00%           81      25334
       0    39238    71907    0.00%           81      25840
       0    14890    68139    0.00%           82      26373
       0    14610    66727    0.00%           82      26894
       0    14877    67528    0.00%           83      27420
       0    15121    67802    0.00%           83      27950
       0    18742    72341    0.00%           84      28461
       0    30336    66232    0.00%           84      28979
       0    41567    65258    0.00%           85      29486
       0    29120    67059    0.00%           85      30010
       0    30512    67009    0.00%           86      30532
   26969    62298    70532   30.21%           87      31029
   73425    66424    67881   52.50%           87      31553
   63264    66124    68942   48.89%           88      32080
       0    14919    67857    0.00%           88      32604
       0    14815    67328    0.00%           89      33127
       0     5532    71919    0.00%           89      33621
       0    13939    68178    0.00%           90      34146
       0    12173    70786    0.00%           90      34675
       0    14186    67887    0.00%           91      35201
       0    14891    68109    0.00%           91      35729
       0    41168    71863    0.00%           92      36241
       0    14597    67335    0.00%           92      36769
       0    15161    68236    0.00%           93      37301
       0    14985    67820    0.00%           94      37828
       0    15087    67361    0.00%           94      38353
       0     9844    72832    0.00%           95      38882
       0    15306    67759    0.00%           95      39409
       0    15349    68000    0.00%           96      39938
       0    28219    68193    0.00%           96      40472
       0    38543    67702    0.00%           97      41000
  121654    14250    20784   89.51%           97      41129
  121905       48      113   99.96%           97      41129
  131723       48      114   99.96%           97      41129

Script done on 2025-11-17 06:40:56+00:00 [COMMAND_EXIT_CODE="143"]
