Script started on 2025-11-15 15:35:42+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0        0    61400    0.00%           18       1814
  244991   154292     3038   61.36%           18       1426
  487563   262769       48   64.98%           18       1745
  462329   268736       55   63.24%           18       1665
  465380   276025       48   62.77%           18       1594
  458098   270542       48   62.87%           18       1507
  466555   270635       49   63.29%           18       1435
  450905   259931       48   63.43%           18       1332
  480259   275346       61   63.56%           18       1800
  462235   266949       48   63.39%           18       1720
  457406   266191       48   63.21%           18       1630
  461416   266345       48   63.40%           18       1548
  489941   267261       48   64.70%           18       1459
  447872   257555       50   63.49%           18       1349
  485886   281351       48   63.33%           18       1829
  463175   269166       48   63.25%           18       1752
  453433   265412       48   63.08%           18       1655
  452682   260683       48   63.46%           18       1555
  463464   266975       50   63.45%           18       1477
  459098   265766       49   63.34%           18       1391
  470203   271861       48   63.36%           18       1656
  476238   273574       48   63.51%           18       1780
  473255   254810       48   65.00%           18       1662
  454707   263623       50   63.30%           18       1567
  463886   268573       51   63.33%           18       1490
  456675   264571       48   63.32%           18       1399
  466229   268389       48   63.47%           18       1500
  486982   282158       48   63.32%           18       1808
  454511   261157       50   63.51%           18       1711
  445916   257354       48   63.41%           18       1598
  463551   268167       48   63.35%           18       1520

Script done on 2025-11-15 15:36:15+00:00 [COMMAND_EXIT_CODE="143"]
