Script started on 2025-11-15 15:34:36+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    26646    42817    0.00%           18       1415
  452068   260747       48   63.42%           18       1825
  441310   254325       48   63.44%           18       1701
  448165   259380       54   63.34%           18       1592
  435267   249409       48   63.57%           18       1455
  446376   257182       48   63.45%           18       1340
  477994   276401       49   63.36%           18       1804
  465601   249850       48   65.08%           18       1665
  436912   252724       61   63.35%           18       1533
  445001   258580       48   63.25%           18       1416
  457819   263825       48   63.44%           18       1653
  453294   261689       48   63.40%           18       1738
  434257   251248       48   63.35%           18       1601
  441606   260577       50   62.89%           18       1479
  441535   254361       48   63.45%           18       1355
  471886   274469       48   63.23%           18       1806
  435841   252705       48   63.30%           18       1671
  469000   250881       48   65.15%           18       1537
  437575   253366       50   63.33%           18       1406
  462089   271286       49   63.01%           18       1698
  456049   264251       48   63.31%           18       1744
  439850   252284       48   63.55%           18       1617
  434122   251212       48   63.34%           18       1478
  446907   258779      106   63.33%           18       1360
  463549   267454       51   63.41%           18       1794
  430485   247621       48   63.48%           18       1648
  445759   258153       48   63.33%           18       1533
  463646   249357       48   65.03%           18       1389
  465328   268080       52   63.45%           18       1826
  440987   254442       48   63.41%           18       1701

Script done on 2025-11-15 15:35:09+00:00 [COMMAND_EXIT_CODE="143"]
