Script started on 2025-11-15 15:32:30+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0        0    34104    0.00%           18       1169
       0        0    34737    0.00%           18       1376
       0        0    36079    0.00%           18       1592
       0        0    39495    0.00%           18       1828
  267258   127933     3749   67.63%           18       1787
  373373   209345     5550   64.07%           18       1534
  395422   225918     9436   63.64%           18       1585
  425129   239324     5470   63.98%           18       1710
  397011   224291     5604   63.90%           18       1507
  427246   240334     6028   64.00%           18       1870
  390287   220088     5731   63.94%           18       1660
  397045   222530     5655   64.08%           18       1453
  425437   239463     6157   63.99%           18       1820
  405595   218721     5669   64.97%           18       1599
  412339   224151     5942   64.78%           18       1427
  418945   237478     6191   63.82%           18       1753
  391816   219616     5701   64.08%           18       1537
  414650   233685     6210   63.96%           18       1881
  395528   221826     5934   64.07%           18       1674
  421596   219350     9466   65.78%           19       1462
  426266   239739     6103   64.00%           19       1831
  388710   219569     6071   63.90%           19       1609
  414596   234595     6085   63.86%           19       1956
  409300   217740     5573   65.27%           19       1731
  396363   218172     5758   64.50%           19       1505
  421335   237959     6297   63.91%           19       1863
  407241   229099     5818   64.00%           19       1682
  401368   225968     6448   63.98%           19       1565
  413077   232312     5775   64.00%           19       1827
  388468   220397     5978   63.80%           19       1610
  408505   231497     6277   63.83%           19       1942
  384560   217211     5677   63.90%           19       1714
  401686   227378     6084   63.85%           19       1842
  455027   221569     8771   67.25%           19       1824

Script done on 2025-11-15 15:33:06+00:00 [COMMAND_EXIT_CODE="143"]
