Script started on 2025-11-15 15:33:27+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0        0    36653    0.00%           17       1254
       0        0    39280    0.00%           17       1489
       0        0    36818    0.00%           17       1711
       0        0    29192    0.00%           17       1846
  334335   187905     5450   64.02%           17       1552
  398651   223469     6501   64.08%           17       1863
  457671   218020     8708   67.73%           17       1644
  401762   226911     6090   63.91%           17       1450
  424000   240013     6726   63.85%           17       1817
  385700   217769     6112   63.91%           17       1589
  418708   235558     6548   64.00%           17       1771
  397527   223427     5915   64.02%           17       1737
  385098   217934     6388   63.86%           17       1510
  419918   236221     6272   64.00%           17       1866
  388413   217749     6076   64.08%           17       1644
  407209   229506     6459   63.95%           17       1608
  440942   229639     5944   65.76%           17       1794
  386160   217842     5698   63.93%           17       1567
  421810   236799     6105   64.05%           17       1926
  426170   221735     8699   65.78%           17       1723
  398439   225316     5487   63.88%           17       1522
  418609   235694     5760   63.98%           17       1875
  398833   226296     6193   63.80%           17       1677
  421109   235898     5942   64.10%           17       1980
  402399   225312     5616   64.11%           17       1837
  399719   226079     6227   63.87%           17       1641
  440429   229964     6770   65.70%           17       1973
  391787   221695     6593   63.86%           17       1759
  395640   223687     6582   63.88%           17       1556
  420053   236562     6671   63.97%           17       1911
  386987   218829     5983   63.88%           17       1686
  425148   239340     6640   63.98%           17       2052
  414678   216794     8854   65.67%           18       1825
  396866   225245     5687   63.79%           18       1623

Script done on 2025-11-15 15:34:03+00:00 [COMMAND_EXIT_CODE="143"]
