Script started on 2025-11-16 14:12:34+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   917689   693970    0.00%           10      29659
       0        0   771152    0.00%           10      24055
       0        0  1164247    0.00%           10      22877
       0        0  1152228    0.00%           10      25840
       0        0  1137424    0.00%           12      25629
       0        0   991882    0.00%           12      26953
       0        0  1069868    0.00%           12      25545
       0        0  1200902    0.00%           12      26611
       0        0  1153873    0.00%           12      26035
       0        0  1167609    0.00%           12      24893
       0        0  1178011    0.00%           12      24960
       0        0  1216612    0.00%           12      25608
       0        0  1189412    0.00%           12      24634
       0        0  1170709    0.00%           12      26759
       0        0  1158630    0.00%           12      25473
       0        0  1279308    0.00%           12      26009
       0        0  1152908    0.00%           12      25365
       0        0  1286151    0.00%           12      26800
       0        0  1125498    0.00%           12      24489
       0        0  1282985    0.00%           12      24896
       0        0  1275773    0.00%           12      24926
       0        0  1253541    0.00%           12      25558
       0        0  1117154    0.00%           12      26876
       0        0  1330634    0.00%           12      25740
       0        0  1299831    0.00%           12      26192
       0        0  1147600    0.00%           12      26738
       0        0  1277700    0.00%           12      24499
       0        0   777462    0.00%           12      25571
    1036        0       23  100.00%           12      25571
    1022        0       18  100.00%           12      25571
    1375        0       18  100.00%           12      25571
    2055        0       18  100.00%           12      25571
    5128        0       18  100.00%           12      25571

Script done on 2025-11-16 14:13:11+00:00 [COMMAND_EXIT_CODE="143"]
