Script started on 2025-11-16 14:10:30+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   544015   505974    0.00%           13      15104
       0        0   404990    0.00%           13      16826
       0        0   436794    0.00%           13      18492
       0        0   290940    0.00%           13      19520
       0        0   213020    0.00%           13      20216
       0        0   194052    0.00%           13      20833
       0        0   860665    0.00%           13      23224
       0        0   630395    0.00%           13      24687
       0        0   333173    0.00%           13      25374
       0        0   164644    0.00%           13      25694
       0        0   180142    0.00%           13      26036
       0        0   273554    0.00%           13      26517
       0        0   918320    0.00%           13      27934
       0        0   599727    0.00%           13      28703
       0        0   509994    0.00%           13      29281
       0        0   455446    0.00%           13      29744
       0        0   454956    0.00%           13      30156
       0        0   469415    0.00%           13      30538
       0        0   399793    0.00%           13      30830
       0        0   231254    0.00%           13      30985
       0        0   472559    0.00%           13      31273
       0        0   790185    0.00%           13      31700
       0        0   474099    0.00%           13      31918
       0        0   402419    0.00%           13      32086
       0        0   192639    0.00%           13      32159
       0        0   194264    0.00%           13      32230
       0        0   159071    0.00%           13      32286
       0        0   497630    0.00%           13      32450
   32608        0       23  100.00%           13      32450
    6779        0       18  100.00%           13      32450

Script done on 2025-11-16 14:11:03+00:00 [COMMAND_EXIT_CODE="143"]
