Script started on 2025-11-16 14:06:49+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  7038544       25    0.00%           12      30300
       0   895122       18    0.00%           12      22161
  661066   762489       18   46.44%           12      20480
  694769   796197       18   46.60%           12      23589
  701791   804001       18   46.61%           12      26730
  730926   821175       18   47.09%           12      29905
  720766   803922       18   47.27%           12      29649
  657807   755085       18   46.56%           12      19645
  735800   842216       19   46.63%           12      22935
  756405   865871       18   46.63%           12      26319
  756072   865860       18   46.62%           12      29300
  759005   867350       18   46.67%           12      28140
  718176   820953       18   46.66%           12      21091
  743005   851715       18   46.59%           12      23238
  752117   860922       18   46.63%           12      26089
  783062   869553       20   47.38%           12      27322
  766589   866522       18   46.94%           12      28317
  723096   825460       18   46.69%           12      23655
  724272   829911       18   46.60%           12      23396
  762364   873139       18   46.61%           12      26027
  760872   870919       20   46.63%           12      26693
  761551   871074       19   46.65%           12      28063
  726528   829619       18   46.69%           12      21896
  742875   851063       18   46.61%           12      23859

Script done on 2025-11-16 14:07:21+00:00 [COMMAND_EXIT_CODE="143"]
