Script started on 2025-11-16 14:04:45+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  260278   563911       18   31.58%           10       3177
  210009   290544       34   41.96%           10       4311
  274311   291052       18   48.52%           10       5448
  351179   290049       18   54.77%           10       6581
  469305   288134       18   61.96%           12       7701
  561106   289656       18   65.95%           12       8835
  714940   289276       18   71.19%           12       9965
  920708   289310       18   76.09%           12      11095
 1199507   286750       18   80.71%           12      12214
 1632233   285067       18   85.13%           12      13329
 2351737   280339       18   89.35%           12      14423
 3759836   268717       18   93.33%           12      15472
 6640015   230163       19   96.65%           12      16371
 8737638   141136       18   98.41%           12      16924
 9302401    67991       44   99.27%           12      17188
 8906355    27183       18   99.70%           12      17295
10068508    11806       26   99.88%           12      17341
 9916596     3717       18   99.96%           12      17356
10694326     1328       18   99.99%           12      17361
10693148      349       18  100.00%           12      17362
10480691      131       18  100.00%           12      17363
10527636       43       18  100.00%           12      17363
10044274        7       18  100.00%           12      17363
10621939        3       18  100.00%           12      17363
10157275        0       20  100.00%           12      17363
10945592        0       19  100.00%           12      17363
10307403        0       23  100.00%           12      17363
10688782        0       18  100.00%           12      17363
10088502        0       18  100.00%           12      17363

Script done on 2025-11-16 14:05:16+00:00 [COMMAND_EXIT_CODE="143"]
