Script started on 2025-11-16 13:57:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  7126961       25    0.00%           12      30675
       0   804658       18    0.00%           12      18873
  686285   790963       18   46.46%           12      20594
  709789   813674       18   46.59%           12      23766
  692663   794119       18   46.59%           12      26869
  710319   814283       18   46.59%           12      29916
  728160   796369       18   47.76%           12      30025
  666187   764627       18   46.56%           12      19768
  747463   855784       19   46.62%           12      23106
  752919   861635       18   46.63%           12      26331
  748559   856615       20   46.63%           12      29078
  752091   860542       18   46.64%           12      27771
  738843   843853       18   46.68%           12      23471
  738966   847812       18   46.57%           12      23187
  761016   871230       18   46.62%           12      26252
  754455   863652       18   46.63%           12      26112
  782634   858303       18   47.69%           12      27727
  735805   840177       18   46.69%           12      24573
  717855   823608       18   46.57%           12      23489
  755104   864283       18   46.63%           12      25676
  760299   870659       20   46.62%           12      26644
  754191   863141       19   46.63%           12      28066
  714834   817628       18   46.65%           12      21693
  745705   853758       18   46.62%           12      23758

Script done on 2025-11-16 13:58:00+00:00 [COMMAND_EXIT_CODE="143"]
