Script started on 2025-11-16 13:58:28+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  1087282   704600    0.00%           12      29533
       0        0   899835    0.00%           12      23877
       0        0  1010040    0.00%           12      23019
       0        0  1264376    0.00%           12      26234
       0        0   967021    0.00%           12      25081
       0        0  1015743    0.00%           12      25859
       0        0  1104843    0.00%           12      25376
       0        0  1183356    0.00%           12      27649
       0        0  1246789    0.00%           12      25816
       0        0  1189073    0.00%           12      23952
       0        0  1242961    0.00%           12      26244
       0        0  1269767    0.00%           12      25062
       0        0  1197524    0.00%           12      26478
       0        0  1220506    0.00%           12      25724
       0        0  1257200    0.00%           12      25593
       0        0  1208867    0.00%           12      26013
       0        0  1202041    0.00%           12      25283
       0        0  1192891    0.00%           12      25248
       0        0  1072177    0.00%           12      24931
       0        0  1225637    0.00%           12      25266
       0        0  1335943    0.00%           12      25704
       0        0  1299087    0.00%           12      25276
       0        0  1180234    0.00%           12      25076
       0        0  1253385    0.00%           12      26975
       0        0  1191155    0.00%           12      24496
       0        0  1277581    0.00%           12      24909
       0        0  1178254    0.00%           12      25857
       0        0   583385    0.00%           12      26601
     922        0       21  100.00%           12      26601
     629       31       20   95.30%           12      26601
   34766        0       18  100.00%           12      26601
    2122        0       18  100.00%           12      26601

Script done on 2025-11-16 13:59:04+00:00 [COMMAND_EXIT_CODE="143"]
