Script started on 2025-11-16 13:55:25+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  189457   446064       18   29.81%           10       2715
  142384   230325       34   38.20%           10       3615
  179566   231150       18   43.72%           10       4518
  220198   230649       18   48.84%           10       5419
  294102   228889       18   56.23%           12       6308
  322472   229778       18   58.39%           12       7208
  384982   229034       18   62.70%           12       8101
  466419   229398       18   67.03%           12       8998
  562057   228899       18   71.06%           12       9892
  682677   228503       18   74.92%           12      10784
  832837   228110       18   78.50%           12      11676
 1036523   226702       18   82.05%           12      12561
 1337200   226685       19   85.51%           12      13446
 1757229   225685       18   88.62%           12      14329
 2490916   222209       18   91.81%           12      15194
 3775743   215596       18   94.60%           12      16038
 6619916   189144       18   97.22%           12      16777
 9389312   100704       18   98.94%           12      17171
 8177973    30527       18   99.63%           12      17289
 9338204    12322       18   99.87%           12      17338
10071201     4240       18   99.96%           12      17355
10698286     1338       18   99.99%           12      17360
10802147      352       18  100.00%           12      17362
10219943      110       18  100.00%           12      17362
10764346       39       20  100.00%           12      17362
10240198       17       19  100.00%           12      17363
10308553        6       18  100.00%           12      17363
10374464        0       18  100.00%           12      17363
10830028        0       18  100.00%           12      17363

Script done on 2025-11-16 13:55:56+00:00 [COMMAND_EXIT_CODE="143"]
