Script started on 2025-11-16 13:56:24+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   664718   461672    0.00%           11      15082
       0        0   425778    0.00%           11      16876
       0        0   459869    0.00%           11      18625
       0        0   262614    0.00%           11      19541
       0        0   214147    0.00%           13      20256
       0        0   243133    0.00%           13      21010
       0        0   893373    0.00%           13      23446
       0        0   586977    0.00%           13      24786
       0        0   273916    0.00%           13      25353
       0        0   219258    0.00%           13      25775
       0        0   203712    0.00%           13      26152
       0        0   431870    0.00%           13      26896
       0        0   931602    0.00%           13      28257
       0        0   548010    0.00%           13      28930
       0        0   474597    0.00%           13      29440
       0        0   458874    0.00%           13      29892
       0        0   452268    0.00%           13      30288
       0        0   494019    0.00%           13      30672
       0        0   426538    0.00%           13      30971
       0        0   233592    0.00%           13      31120
       0        0   530382    0.00%           13      31427
       0        0   726086    0.00%           13      31794
       0        0   470268    0.00%           13      31996
       0        0   417630    0.00%           13      32168
       0        0   178010    0.00%           13      32233
       0        0   186363    0.00%           13      32298
       0        0   196043    0.00%           13      32363
       0        0   427491    0.00%           13      32498
    1511        0       23  100.00%           13      32498
   31187        1       24  100.00%           13      32498

Script done on 2025-11-16 13:56:57+00:00 [COMMAND_EXIT_CODE="143"]
