Script started on 2025-11-16 14:02:02+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  7082754       25    0.00%           12      30426
       0   855848       18    0.00%           12      20877
  682337   786548       18   46.45%           12      20553
  734096   804317       18   47.72%           12      23696
  702760   805388       18   46.60%           12      26838
  716188   820726       19   46.60%           12      29975
  712074   814624       18   46.64%           12      29935
  658744   756307       18   46.55%           12      19803
  742684   849914       19   46.63%           12      23119
  753960   863291       18   46.62%           12      26493
  753850   862926       18   46.63%           12      28925
  755699   865221       20   46.62%           12      28203
  743758   850196       18   46.66%           12      21355
  770027   844478       18   47.69%           12      23478
  749902   858165       18   46.63%           12      25820
  786797   850068       18   48.07%           12      26601
  773771   859996       18   47.36%           12      27878
  781223   842401       18   48.12%           12      24693
  749723   822650       18   47.68%           12      23119
  758636   868785       18   46.62%           12      24872
  786273   862652       20   47.68%           12      26808
  755971   865842       19   46.61%           12      28398
  738697   843084       18   46.70%           12      22891
  756476   829599       18   47.69%           12      23415

Script done on 2025-11-16 14:02:33+00:00 [COMMAND_EXIT_CODE="143"]
