Script started on 2025-11-16 14:03:01+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   991590   820394    0.00%           12      30484
       0        0   836720    0.00%           12      21042
       0        0  1117659    0.00%           12      23434
       0        0  1133378    0.00%           12      25351
       0        0  1043265    0.00%           12      26573
       0        0  1074130    0.00%           12      26916
       0        0  1134969    0.00%           12      25907
       0        0   967674    0.00%           12      26424
       0        0  1055540    0.00%           12      24002
       0        0  1058550    0.00%           12      24443
       0        0  1137754    0.00%           12      24278
       0        0  1230041    0.00%           12      24477
       0        0   936683    0.00%           12      26086
       0        0   961078    0.00%           12      26257
       0        0  1139035    0.00%           12      26499
       0        0  1187683    0.00%           12      25484
       0        0  1197023    0.00%           12      24148
       0        0  1009194    0.00%           12      25490
       0        0  1011498    0.00%           12      25145
       0        0  1165813    0.00%           12      25889
       0        0  1045014    0.00%           12      25319
       0        0  1111345    0.00%           12      25373
       0        0  1084270    0.00%           12      26726
       0        0  1123583    0.00%           12      25331
       0        0  1202566    0.00%           12      25572
       0        0  1144325    0.00%           12      26565
       0        0  1086749    0.00%           12      24408
       0        0   481723    0.00%           12      25418
    1220        0       23  100.00%           12      25417
    1209        0       18  100.00%           12      25418
    1514        0       18  100.00%           12      25418
    1510        0       18  100.00%           12      25418

Script done on 2025-11-16 14:03:37+00:00 [COMMAND_EXIT_CODE="143"]
