Script started on 2025-11-16 16:21:25+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  3029146       12    0.00%           11      13509
       0  1490612        0    0.00%           11      19784
  114338  1798155        0    5.98%           11      23253
  457585  2113865        0   17.79%           11      29504
  926180  1605544        3   36.58%           11      20914
 1506702  1734663        0   46.48%           11      26140
 1481187  1704043        0   46.50%           11      27936
 1609589  1814477        0   47.01%           13      23562
 1811525  2077793        5   46.58%           13      26318
 1724265  1977303        0   46.58%           13      26571
 1718876  1971515        0   46.58%           13      25358
 1756500  2013185        0   46.60%           13      26361
 1639061  1878288        0   46.60%           13      24331
 1697515  1944893        0   46.60%           13      24785
 1779199  2040919        0   46.57%           13      27781
 1560564  1788250        0   46.60%           13      23688
 1757819  2015547        0   46.58%           13      27490
 1581077  1772721        0   47.14%           13      23512
 1708062  1961330        0   46.55%           13      26375
 1655980  1897138        0   46.61%           13      25471
 1672000  1916234        0   46.60%           13      25085
 1681892  1927161        0   46.60%           13      25596
 1669040  1911142        0   46.62%           13      25470
 1641088  1879667        0   46.61%           13      25316
 1679041  1923982        0   46.60%           13      26109
 1604191  1836472        0   46.62%           13      25136
 1641569  1881945        0   46.59%           13      25605
 1687742  1895677        0   47.10%           13      25924
 1517488  1610704        2   48.51%           13      23977

Script done on 2025-11-16 16:21:56+00:00 [COMMAND_EXIT_CODE="143"]
