Script started on 2025-11-16 16:19:18+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  352479   964517       12   26.76%           11       4504
  255204   517272        0   33.04%           11       6525
  318019   546559        0   36.78%           11       8660
  171004   221690        0   43.55%           13       9522
  410952   589260        3   41.09%           13      11825
  502802   646946        0   43.73%           13      14351
  406347   476900        0   46.01%           13      16215
  665849   693539        0   48.98%           13      18923
  436811   401085        0   52.13%           13      20490
  825820   642785        3   56.23%           13      23000
 1245498   706908        0   63.79%           13      25762
 2482671   777899        0   76.14%           13      28801
 5110946   633352        0   88.97%           13      31275
 8437965   364425        0   95.86%           13      32696
10987460   151196        0   98.64%           13      33289
11081324    41348        0   99.63%           13      33451
11823307    11269        0   99.90%           13      33495
11972226     2853        0   99.98%           13      33506
12148577      621        0   99.99%           13      33508
12159623      161        0  100.00%           13      33509
11833769       50        0  100.00%           13      33509
12053090       19        0  100.00%           13      33509
12343736        0        0  100.00%           13      33509
12150597       76        0  100.00%           13      33509
12274956        0        0  100.00%           13      33509
12261558        0        0  100.00%           13      33509
12411939        0        0  100.00%           13      33509
12154233        0        0  100.00%           13      33509

Script done on 2025-11-16 16:19:49+00:00 [COMMAND_EXIT_CODE="143"]
