Script started on 2025-11-16 16:17:42+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   511593   833839    0.00%           12      26378
       0        0  1226054    0.00%           13      27835
       0        0  1764676    0.00%           13      21334
       0        0  1423239    0.00%           13      23691
       0        0  1242214    0.00%           13      26092
       0        0  1353554    0.00%           13      26819
       0        0  1357759    0.00%           13      25993
       0        0  1485227    0.00%           13      25022
       0        0  1323686    0.00%           13      24469
       0        0  1424476    0.00%           13      26362
       0        0  1621046    0.00%           13      24489
       0        0  1478683    0.00%           13      25341
       0        0  1349224    0.00%           13      25863
       0        0  1425852    0.00%           13      25493
       0        0  1340965    0.00%           13      27503
       0        0  1430363    0.00%           13      25055
       0        0  1532988    0.00%           13      26803
       0        0  1513558    0.00%           14      24873
       0        0  1599121    0.00%           14      24895
       0        0  1349637    0.00%           14      26297
       0        0  1389324    0.00%           14      25634
       0        0  1533028    0.00%           14      25547
       0        0  1384592    0.00%           14      25869
       0        0  1463631    0.00%           14      28574
       0        0  1280084    0.00%           14      24723
       0        0  1452973    0.00%           14      24617
       0        0  1384741    0.00%           14      26382
       0        0  1472895    0.00%           14      27798
       0        0   535980    0.00%           14      25373
   33568        0       17  100.00%           14      25373
     618        0        7  100.00%           14      25373
    1218        0       39  100.00%           14      25373
    1832        0       29  100.00%           14      25373

Script done on 2025-11-16 16:18:18+00:00 [COMMAND_EXIT_CODE="143"]
