Script started on 2025-11-16 16:15:38+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    34936   325333    0.00%           11       6361
       0        0   320848    0.00%           11       8270
       0        0   310557    0.00%           12      10051
       0        0   311117    0.00%           12      11704
       0        0   335995    0.00%           12      13279
       0        0   364799    0.00%           12      14794
       0        0   359178    0.00%           12      16158
       0        0   353240    0.00%           12      17418
       0        0   350634    0.00%           12      18570
       0        0   355220    0.00%           12      19664
       0        0   369804    0.00%           12      20702
       0        0   332248    0.00%           12      21626
       0        0   306847    0.00%           12      22456
       0        0   304902    0.00%           12      23245
       0        0   308622    0.00%           12      23989
       0        0   310665    0.00%           12      24686
       0        0   310926    0.00%           12      25328
       0        0   306915    0.00%           12      25923
       0        0   305072    0.00%           12      26463
       0        0   309513    0.00%           12      26972
       0        0   304815    0.00%           12      27453
       0        0   304108    0.00%           12      27897
       0        0   301109    0.00%           12      28307
       0        0   304912    0.00%           12      28687
       0        0   304536    0.00%           12      29037
       0        0   306113    0.00%           12      29367
       0        0   304294    0.00%           12      29684
       0        0   307488    0.00%           12      29991
       0        0   127814    0.00%           13      30127
     780        3        4   99.62%           13      30127
       6        0        0  100.00%           13      30127
    3480        0       76  100.00%           13      30127

Script done on 2025-11-16 16:16:13+00:00 [COMMAND_EXIT_CODE="143"]
