Script started on 2025-11-16 16:09:56+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  492060  1221850        0   28.71%           11       5488
  314965   567100        0   35.71%           11       7705
  361830   562846        0   39.13%           11       9903
  420864   581062        0   42.01%           11      12172
  502318   593374        3   45.84%           13      14484
  542633   601914        5   47.41%           13      16839
  651406   651879        0   49.98%           13      19385
  751901   636650        0   54.15%           13      21871
 1013017   666914        0   60.30%           13      24476
 1734816   746156        0   69.92%           13      27392
 3438245   697525        0   83.13%           13      30116
 5677999   456160        0   92.56%           13      31898
 8379294   257799        0   97.02%           13      32905
 9983330   103701        0   98.97%           13      33310
11284189    33614        0   99.70%           13      33441
11687683     9027        0   99.92%           13      33476
12016155     2324        0   99.98%           13      33485
11874573      473        0  100.00%           13      33487
11968175      154        0  100.00%           13      33488
12059835       60        0  100.00%           13      33488
12270014       12        0  100.00%           13      33488
12129089        0        0  100.00%           13      33488
12174483        0        0  100.00%           13      33488
12296914        0        0  100.00%           13      33488
12272792        0        0  100.00%           13      33488
12170634        0        0  100.00%           13      33488
12138667        0        0  100.00%           13      33488
12312362        0        0  100.00%           13      33488

Script done on 2025-11-16 16:10:27+00:00 [COMMAND_EXIT_CODE="143"]
