Script started on 2025-11-16 16:10:57+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   247752   539192    0.00%           11      14794
       0        0   446191    0.00%           11      16683
       0        0   448000    0.00%           13      18379
       0        0   448273    0.00%           13      19911
       0        0   504026    0.00%           13      21444
       0        0   269238    0.00%           13      22198
       0        0   319516    0.00%           13      23024
       0        0   810443    0.00%           13      24858
       0        0   479393    0.00%           13      25784
       0        0   492857    0.00%           13      26640
       0        0   309538    0.00%           13      27126
       0        0   224127    0.00%           13      27457
       0        0   192581    0.00%           13      27725
       0        0   573467    0.00%           13      28459
       0        0   907246    0.00%           13      29439
       0        0   332760    0.00%           13      29750
       0        0   227379    0.00%           13      29949
       0        0   193307    0.00%           13      30108
       0        0   232598    0.00%           13      30291
       0        0   920945    0.00%           13      30915
       0        0   576607    0.00%           13      31247
       0        0   577175    0.00%           13      31534
       0        0   502483    0.00%           13      31750
       0        0   455987    0.00%           13      31932
       0        0   509358    0.00%           13      32102
       0        0   408562    0.00%           13      32236
       0        0   234679    0.00%           13      32304
       0        0   141235    0.00%           13      32343
    2670        0        0  100.00%           13      32343
    2080        0        0  100.00%           13      32343

Script done on 2025-11-16 16:11:31+00:00 [COMMAND_EXIT_CODE="143"]
