Script started on 2025-11-17 04:00:48+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  2965125      113    0.00%           13      13094
       0  1297119      114    0.00%           13      18551
       0  1295026      113    0.00%           13      23908
   94991  1395186      114    6.37%           13      25351
  336629  1416088      116   19.21%           13      29723
  699965  1113782      117   38.59%           13      19954
 1078572  1242157      114   46.48%           13      23700
 1071589  1232879      113   46.50%           13      28072
 1054665  1212926      114   46.51%           13      26372
 1169117  1306316      113   47.23%           13      21788
 1179512  1319956      116   47.19%           13      25556
 1173717  1310024      113   47.26%           13      24724
 1169095  1344975      113   46.50%           13      27263
 1120011  1283747      114   46.59%           13      23597
 1131242  1298417      113   46.56%           13      23382
 1201343  1381273      116   46.52%           13      25443
 1183893  1362571      113   46.49%           13      29974
 1048019  1200843      114   46.60%           13      21525
 1172025  1295165      113   47.50%           13      23516
 1174129  1350245      113   46.51%           13      27161
 1136066  1304809      116   46.54%           13      26837
 1111882  1273805      113   46.61%           13      23046
 1134568  1301720      114   46.57%           13      23819
 1123244  1290392      113   46.54%           13      25022
 1172038  1348733      116   46.50%           13      28611
 1077152  1232518      118   46.64%           13      22198
 1125960  1292950      113   46.55%           13      23672
 1167601  1343429      114   46.50%           13      27630

Script done on 2025-11-17 04:01:19+00:00 [COMMAND_EXIT_CODE="143"]
