Script started on 2025-11-17 04:01:46+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   542990  1236297    0.00%           14      26160
       0        0  1105959    0.00%           14      27557
       0        0  1233639    0.00%           14      22228
       0        0  1229865    0.00%           14      24386
       0        0  1261195    0.00%           14      24705
       0        0  1174201    0.00%           14      26101
       0        0  1165176    0.00%           14      25137
       0        0  1340492    0.00%           14      25252
       0        0  1257581    0.00%           14      25557
       0        0  1325903    0.00%           14      25305
       0        0  1383663    0.00%           14      25316
       0        0  1299931    0.00%           14      25346
       0        0  1350845    0.00%           14      25500
       0        0  1281017    0.00%           14      24873
       0        0  1194159    0.00%           14      25610
       0        0  1317043    0.00%           14      24458
       0        0  1420542    0.00%           14      25585
       0        0  1414074    0.00%           14      26495
       0        0  1252910    0.00%           14      24142
       0        0  1353966    0.00%           14      24211
       0        0  1300043    0.00%           14      24662
       0        0  1255383    0.00%           14      25980
       0        0  1210159    0.00%           14      26099
       0        0  1278841    0.00%           14      25907
       0        0  1375329    0.00%           14      26226
       0        0  1357781    0.00%           14      24362
       0        0  1498325    0.00%           14      27450
       0        0  1354422    0.00%           15      24251
       0        0   283887    0.00%           15      24324
     640        0      113  100.00%           15      24324
   33762        0      114  100.00%           15      24324
    1579        0      113  100.00%           15      24324
    2200        0      116  100.00%           15      24324

Script done on 2025-11-17 04:02:23+00:00 [COMMAND_EXIT_CODE="143"]
