Script started on 2025-11-17 03:58:41+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  434865  1170154      126   27.09%           12       5299
  327758   622627      114   34.49%           12       7731
  114884   195787      113   36.98%           12       8495
  104682   169360      114   38.20%           12       9156
  127645   197429      116   39.27%           12       9928
  245229   356790      117   40.73%           12      11323
  187807   218123      114   46.27%           13      12171
  420940   545625      113   43.55%           13      14302
  546945   634736      114   46.29%           13      16781
  613812   619698      113   49.76%           13      19202
  398814   355156      116   52.90%           13      20590
 1124441   792225      113   58.67%           13      23684
  628810   321055      113   66.20%           13      24938
 1298333   474677      114   73.23%           13      26792
 2269074   508161      113   81.70%           13      28778
 5563995   606009      116   90.18%           13      31145
 8049434   351464      113   95.82%           13      32517
 9382207   163759      114   98.28%           13      33157
 9374962    58093      113   99.38%           14      33384
 9507045    20054      113   99.79%           14      33462
10046561     6748      114   99.93%           14      33488
10420307     2158      113   99.98%           14      33497
10002009      592      114   99.99%           14      33499
10643203      190      113  100.00%           14      33500
 9970863       66      116  100.00%           14      33500
10920250       35      115  100.00%           14      33501
 9977116        6      113  100.00%           14      33501
10953292        0      114  100.00%           14      33501

Script done on 2025-11-17 03:59:12+00:00 [COMMAND_EXIT_CODE="143"]
