Script started on 2025-11-17 03:59:41+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    19473  1033085    0.00%           12      16605
       0        0  1023780    0.00%           12      20197
       0        0  1007496    0.00%           12      23023
       0        0  1030712    0.00%           12      25304
       0        0  1044935    0.00%           12      27089
       0        0  1041884    0.00%           14      28505
       0        0  1061760    0.00%           14      29610
       0        0  1055306    0.00%           14      30463
       0        0  1054397    0.00%           14      31133
       0        0  1064545    0.00%           14      31654
       0        0  1066676    0.00%           14      32060
       0        0  1064576    0.00%           14      32375
       0        0  1069968    0.00%           14      32620
       0        0  1062387    0.00%           14      32809
       0        0  1061523    0.00%           14      32958
       0        0  1073717    0.00%           14      33078
       0        0  1074379    0.00%           14      33171
       0        0  1051118    0.00%           14      33242
       0        0  1058467    0.00%           14      33298
       0        0  1049684    0.00%           14      33342
       0        0  1055711    0.00%           14      33376
       0        0  1058226    0.00%           14      33404
       0        0  1070705    0.00%           14      33424
       0        0  1060905    0.00%           14      33440
       0        0  1046310    0.00%           14      33454
       0        0  1048593    0.00%           15      33464
       0        0  1071781    0.00%           15      33472
       0        0  1082178    0.00%           15      33478
       0        0   151110    0.00%           15      33481
     311        0      113  100.00%           15      33481
     924        1      114   99.89%           15      33481
    1202        0      113  100.00%           15      33481

Script done on 2025-11-17 04:00:17+00:00 [COMMAND_EXIT_CODE="143"]
