Script started on 2025-11-17 03:56:06+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  4124350      169    0.00%           14      17607
       0  1196236      165    0.00%           14      22552
       0  1173087      171    0.00%           14      27442
  130121  1232135      279    9.55%           55      30912
  492661   942211      183   34.33%           55      19639
  719512   821887      199   46.68%           55      22720
  721652   822037      202   46.75%           56      25930
  747772   811952      192   47.94%           57      29079
  853297   876276      216   49.34%           60      30377
  897828   990133      200   47.56%           60      20009
  831554   945862      193   46.78%           60      23704
  846696   967205      218   46.68%           60      27283
  845342   965615      199   46.68%           60      29509
  897107  1023089      203   46.72%           60      22728
  845011   967731      240   46.62%           60      22645
  837240   956236      278   46.68%           60      25977
  860762   983679      238   46.67%           60      28949
  901229  1029571      221   46.68%           60      26304
  862569   986989      216   46.64%           60      21715
  845334   928256      243   47.66%           60      25021
  834780   953076      262   46.69%           60      28370
  881031  1007304      237   46.66%           60      27196
  876754  1000957      226   46.69%           60      20951
  863381   950213      214   47.61%           60      24110
  866676   954632      240   47.59%           60      27402
  867360   990199      238   46.69%           60      28062
  880951   968732      247   47.63%           60      23272

Script done on 2025-11-17 03:56:37+00:00 [COMMAND_EXIT_CODE="143"]
