Script started on 2025-11-17 03:57:04+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   822325  1140752    0.00%           12      26670
       0        0   710942    0.00%           12      26926
       0        0  1271941    0.00%           13      22841
       0        0  1293180    0.00%           13      23674
       0        0  1381545    0.00%           13      26047
       0        0  1307932    0.00%           13      27223
       0        0  1303431    0.00%           13      26067
       0        0  1465946    0.00%           13      24550
       0        0  1357664    0.00%           14      25304
       0        0  1474436    0.00%           14      24992
       0        0  1263032    0.00%           14      26358
       0        0  1280282    0.00%           14      26143
       0        0  1276559    0.00%           14      24639
       0        0  1110127    0.00%           14      25541
       0        0  1331642    0.00%           14      27024
       0        0  1321241    0.00%           14      27032
       0        0  1456430    0.00%           14      25834
       0        0  1473704    0.00%           14      24892
       0        0  1200351    0.00%           16      25365
       0        0  1083602    0.00%           16      27363
       0        0  1364568    0.00%           16      25867
       0        0  1157689    0.00%           16      24849
       0        0  1323587    0.00%           16      27346
       0        0  1383290    0.00%           16      26084
       0        0  1446851    0.00%           16      25927
       0        0  1194361    0.00%           16      25843
       0        0  1226887    0.00%           16      25931
       0        0  1332448    0.00%           16      25010
       0        0   105388    0.00%           16      25259
    1233        0       28  100.00%           16      25259
     617        0      120  100.00%           16      25259
   34982        0      141  100.00%           16      25259
   35709        0      146  100.00%           16      25259

Script done on 2025-11-17 03:57:40+00:00 [COMMAND_EXIT_CODE="143"]
