Script started on 2025-11-17 03:54:00+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  312323   866532      188   26.49%           13       4108
  263233   543974      168   32.61%           13       6234
  186764   334782      165   35.81%           13       7542
  195608   320868      180   37.87%           13       8795
  372418   552431      173   40.27%           13      10953
  309597   417602      164   42.57%           13      12584
  347844   384173      181   47.52%           15      14084
  549893   601692      183   47.75%           15      16434
  589467   600927      187   49.52%           15      18782
  893017   763532      195   53.91%           15      21764
 1401167   761819      177   64.78%           15      24740
 2505872   675045      181   78.78%           15      27377
 4932262   716078      183   87.32%           15      30173
 6493347   451796      178   93.49%           15      31937
 8230470   242934      184   97.13%           15      32885
 9578350   103803      176   98.93%           15      33289
10651599    36960      240   99.65%           15      33434
10965454    10813      184   99.90%           15      33477
10777109     2883      187   99.97%           15      33490
10967734      932      179   99.99%           15      33495
11099920      211      177  100.00%           15      33497
10786997        0      241  100.00%           15      33498
11096767        0      180  100.00%           15      33498
10356490        0      182  100.00%           15      33498
11129649        0      188  100.00%           15      33498
11327183        0      176  100.00%           15      33498
11182318        0      245  100.00%           15      33498
10218714        0      189  100.00%           15      33498
11311684        0      188  100.00%           15      33498

Script done on 2025-11-17 03:54:31+00:00 [COMMAND_EXIT_CODE="143"]
