Script started on 2025-11-17 03:55:01+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    89597   326034    0.00%           12       6362
       0        0   324985    0.00%           12       8272
       0        0   316654    0.00%           12      10041
       0        0   308151    0.00%           12      11677
       0        0   308030    0.00%           13      13177
       0        0   309465    0.00%           13      14555
       0        0   344243    0.00%           13      15898
       0        0   348793    0.00%           13      17143
       0        0   351118    0.00%           13      18323
       0        0   360355    0.00%           13      19442
       0        0   365067    0.00%           13      20474
       0        0   350249    0.00%           13      21417
       0        0   306749    0.00%           13      22226
       0        0   305213    0.00%           13      22988
       0        0   309717    0.00%           13      23700
       0        0   311111    0.00%           13      24376
       0        0   306417    0.00%           13      25017
       0        0   322452    0.00%           13      25633
       0        0   304399    0.00%           13      26183
       0        0   305823    0.00%           13      26690
       0        0   305219    0.00%           13      27175
       0        0   302702    0.00%           13      27615
       0        0   305419    0.00%           13      28033
       0        0   304067    0.00%           14      28431
       0        0   301156    0.00%           14      28813
       0        0   302492    0.00%           14      29172
       0        0   301019    0.00%           14      29503
       0        0   304735    0.00%           14      29809
       0        0   110700    0.00%           14      29924
     312        0      130  100.00%           14      29924
     627        0      122  100.00%           14      29924
    3060        0      145  100.00%           14      29924

Script done on 2025-11-17 03:55:36+00:00 [COMMAND_EXIT_CODE="143"]
