Script started on 2025-11-17 03:46:53+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0  7043221      123    0.00%           14      30012
       0   824559      118    0.00%           14      20883
  666363   768977      117   46.43%           14      20061
  694134   795053      113   46.61%           15      23167
  699140   800755      117   46.61%           15      26295
  701617   803638      122   46.61%           15      29433
  706199   807750      117   46.65%           15      32000
  595303   631570      115   48.52%           15      18675
  761124   871212      119   46.63%           15      22077
  794698   872479      119   47.67%           15      25485
  778574   891553      113   46.62%           15      28965
  765419   876825      114   46.61%           15      29831
  722916   825947      113   46.67%           15      19334
  765335   876796      114   46.61%           15      22663
  763623   873087      113   46.66%           15      24929
  768713   880415      119   46.61%           15      26951
  775520   887792      120   46.63%           15      30301
  754813   861114      113   46.71%           15      22057
  761963   873642      114   46.59%           15      21741
  793472   871858      113   47.65%           15      24216
  775214   887370      116   46.63%           15      27683
  775559   886824      118   46.65%           15      28963
  748734   855084      133   46.68%           16      22803
  728348   833819      116   46.62%           17      21429

Script done on 2025-11-17 03:47:24+00:00 [COMMAND_EXIT_CODE="143"]
