Script started on 2025-11-17 03:47:52+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   697131  1026001    0.00%           11      29385
       0        0  1094587    0.00%           11      20650
       0        0  1256803    0.00%           11      25559
       0        0  1309053    0.00%           11      26501
       0        0  1261377    0.00%           13      24335
       0        0  1327199    0.00%           13      26451
       0        0  1348081    0.00%           13      26085
       0        0  1293798    0.00%           13      25782
       0        0  1308704    0.00%           13      23864
       0        0  1286008    0.00%           13      26642
       0        0  1341667    0.00%           13      24948
       0        0  1295946    0.00%           13      23928
       0        0  1372878    0.00%           13      26404
       0        0  1277272    0.00%           13      24039
       0        0  1391109    0.00%           13      27371
       0        0  1294319    0.00%           13      24061
       0        0  1400731    0.00%           13      24409
       0        0  1290121    0.00%           13      25623
       0        0  1233009    0.00%           13      25366
       0        0  1377364    0.00%           13      25874
       0        0  1356793    0.00%           13      23670
       0        0  1368546    0.00%           13      25157
       0        0  1289516    0.00%           13      26903
       0        0  1256250    0.00%           13      25135
       0        0  1427261    0.00%           13      25912
       0        0  1369280    0.00%           13      24793
       0        0  1341408    0.00%           13      23451
       0        0   898626    0.00%           13      26375
     928        0      117  100.00%           13      26375
     927        0      113  100.00%           13      26375
    1224        0      114  100.00%           13      26375
     917        0      113  100.00%           13      26375
    3641        2      114   99.95%           13      26375

Script done on 2025-11-17 03:48:28+00:00 [COMMAND_EXIT_CODE="143"]
