Script started on 2025-11-17 03:44:46+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  935877  1234701      113   43.12%           55       5476
  444703   553526      258   44.55%           55       7638
  472418   574381      113   45.13%           55       9882
  536554   593706      114   47.47%           55      12201
  583483   598657      154   49.36%           55      14540
  678678   609925      259   52.67%           55      16922
  759648   616421      115   55.20%           55      19330
  929210   681115      113   57.70%           55      21990
 1263932   729637      114   63.40%           55      24839
 1998406   748776      133   72.74%           55      27766
 3417823   628707      114   84.46%           55      30222
 5112861   405198      113   92.66%           55      31804
 6367829   226008      114   96.57%           55      32687
 7861901   119203      154   98.51%           55      33153
 8365175    48534      287   99.42%           55      33342
 9358130    19753      114   99.79%           55      33419
 9556148     6402      113   99.93%           55      33444
10342837     2186      114   99.98%           55      33453
10024918      567      113   99.99%           55      33455
10986258      187      136  100.00%           55      33456
10911244       67      114  100.00%           55      33456
10822413       23      113  100.00%           55      33456
10917142        6      114  100.00%           55      33456
11008051     2027      115   99.98%           58      33461
10900002     7338      131   99.93%           61      33487
10996691      560      195   99.99%           61      33489
11082496        0      113  100.00%           61      33489
11274124        0      114  100.00%           61      33489

Script done on 2025-11-17 03:45:17+00:00 [COMMAND_EXIT_CODE="143"]
