Script started on 2025-11-17 03:45:47+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   667908   505135    0.00%           23      14920
       0        0   413515    0.00%           23      16664
       0        0   443122    0.00%           23      18340
       0        0   439040    0.00%           23      19844
       0        0   468725    0.00%           23      21285
       0        0   301137    0.00%           23      22134
       0        0   319205    0.00%           23      22958
       0        0   742972    0.00%           63      24668
       0        0   470705    0.00%           63      25603
       0        0   465478    0.00%           63      26435
       0        0   264390    0.00%           63      26862
       0        0   159662    0.00%           63      27109
       0        0   185785    0.00%           63      27386
       0        0   518845    0.00%           63      28095
       0        0   874358    0.00%           63      29103
       0        0   355055    0.00%           63      29465
       0        0   194731    0.00%           63      29649
       0        0   169890    0.00%           63      29802
       0        0   186398    0.00%           63      29963
       0        0   710335    0.00%           63      30507
       0        0   854022    0.00%           63      31059
       0        0   450964    0.00%           63      31309
       0        0   484823    0.00%           63      31546
       0        0   441194    0.00%           63      31737
       0        0   472325    0.00%           63      31924
       0        0   482505    0.00%           63      32093
       0        0   299464    0.00%           63      32189
       0        0   102328    0.00%           63      32221
   34341        0      118  100.00%           63      32221
    2210        4      119   99.82%           63      32221

Script done on 2025-11-17 03:46:21+00:00 [COMMAND_EXIT_CODE="143"]
