Script started on 2025-11-17 03:52:22+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   953214   741830    0.00%           11      30081
       0        0   994182    0.00%           11      20173
       0        0  1043169    0.00%           11      23860
       0        0  1250465    0.00%           13      26206
       0        0  1043853    0.00%           13      26170
       0        0  1227594    0.00%           13      24597
       0        0  1282124    0.00%           13      24382
       0        0  1178964    0.00%           13      26912
       0        0  1273493    0.00%           13      24409
       0        0  1336736    0.00%           13      24433
       0        0  1331105    0.00%           13      26454
       0        0  1320741    0.00%           13      26829
       0        0  1139229    0.00%           13      25099
       0        0  1319170    0.00%           13      24481
       0        0  1369739    0.00%           13      24855
       0        0  1313108    0.00%           13      25406
       0        0  1351461    0.00%           13      25707
       0        0  1371466    0.00%           13      25290
       0        0  1374742    0.00%           13      25332
       0        0  1319668    0.00%           13      23525
       0        0  1321552    0.00%           13      25705
       0        0  1352698    0.00%           13      26737
       0        0  1152692    0.00%           13      26928
       0        0  1269198    0.00%           13      23460
       0        0  1416796    0.00%           14      25129
       0        0  1328390    0.00%           14      25329
       0        0  1398485    0.00%           14      26511
       0        0   591540    0.00%           14      26085
     949        0      114  100.00%           14      26085
     655        0      116  100.00%           14      26085
    1644        0      122  100.00%           14      26085
    1649        5      120   99.70%           14      26085
  107450        1      118  100.00%           14      26009

Script done on 2025-11-17 03:52:59+00:00 [COMMAND_EXIT_CODE="143"]
