Script started on 2025-11-17 03:49:17+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  593385  1302677      113   31.30%           13       5758
  353966   596836      114   37.23%           13       8090
  410895   600275      113   40.64%           13      10436
  473966   615710      114   43.50%           13      12840
  550714   644842      122   46.06%           13      15358
  595273   618630      113   49.04%           13      17776
  786958   706302      114   52.70%           13      20534
  978514   684695      113   58.83%           13      23209
 1503284   708989      114   67.95%           13      25979
 2177914   588346      113   78.73%           13      28272
 4002540   571480      114   87.51%           13      30508
 5554618   362124      113   93.88%           13      31923
 7219479   213526      113   97.13%           13      32758
 8312103   107072      114   98.73%           13      33175
 9020526    44850      115   99.51%           13      33351
 9247747    16221      114   99.82%           13      33415
 9843983     5422      113   99.94%           13      33437
10453817     1865      114   99.98%           13      33445
10427904      451      113  100.00%           13      33446
10205134      145      115  100.00%           13      33447
10677755       54      114  100.00%           13      33447
10968480       18      113  100.00%           13      33447
11046472        3      114  100.00%           13      33448
11176561        0      113  100.00%           13      33448
10814224       76      118  100.00%           14      33447
11060049        0      113  100.00%           14      33448
11144330        0      113  100.00%           14      33448
11096001        1      114  100.00%           14      33448

Script done on 2025-11-17 03:49:48+00:00 [COMMAND_EXIT_CODE="143"]
