Script started on 2025-11-17 03:50:18+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0   291052   583937    0.00%           14      14661
       0        0   441913    0.00%           14      16534
       0        0   415277    0.00%           14      18134
       0        0   466689    0.00%           14      19734
       0        0   486824    0.00%           14      21239
       0        0   251383    0.00%           14      21954
       0        0   336930    0.00%           14      22832
       0        0   791947    0.00%           14      24649
       0        0   481109    0.00%           14      25600
       0        0   464465    0.00%           14      26426
       0        0   347436    0.00%           14      26979
       0        0   223376    0.00%           14      27319
       0        0   192617    0.00%           14      27595
       0        0   558709    0.00%           14      28314
       0        0   896854    0.00%           15      29302
       0        0   362073    0.00%           15      29651
       0        0   196431    0.00%           15      29826
       0        0   220238    0.00%           15      30008
       0        0   194371    0.00%           15      30168
       0        0   855324    0.00%           15      30763
       0        0   645676    0.00%           15      31153
       0        0   558478    0.00%           15      31437
       0        0   442658    0.00%           15      31636
       0        0   466190    0.00%           15      31822
       0        0   461266    0.00%           15      31994
       0        0   407457    0.00%           15      32131
       0        0   236399    0.00%           15      32202
       0        0   143357    0.00%           15      32245
    3069        0      114  100.00%           15      32245
    2794        2      118   99.93%           15      32245

Script done on 2025-11-17 03:50:52+00:00 [COMMAND_EXIT_CODE="143"]
