procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 177920 63630788   4828 170604    0    0   284   880    1    3  1  1 97  1  0
 5  1 177920 63625540   6732 177252    0    0  7504     0 1917 2213  0  0 99  0  0
 1 34 177920 62127204   7404 1667496    0    0 1081800    48 8609 11717  3  3 78 16  0
 1 31 177920 59212116   7408 4583552    0    0 2915328   244 15675 24998  0  6 50 44  0
 1 31 177920 56290992   7408 7506596    0    0 2916608     0 15507 25134  0  5 51 44  0
 0 32 177920 53327132   7408 10471168    0    0 2957824     0 15751 25324  0  6 51 44  0
 3 29 177920 50356200   7408 13440792    0    0 2962688     0 16497 26079  0  6 48 46  0
 2 31 177920 47418696   7424 16379912    0    0 2932992    40 15683 24905  0  5 51 44  0
 2 30 177920 44472308   7424 19327732    0    0 2940672     0 15652 25207  0  6 49 45  0
 3 29 177920 41499284   7424 22301072    0    0 2966528    40 15801 25783  0  5 49 46  0
 1 31 177920 38549276   7424 25252216    0    0 2945280     0 15555 25185  0  5 53 42  0
 2 30 177920 35639528   7424 28161644    0    0 2903040     0 15314 24878  0  5 49 46  0
 2 31 177920 32680364   7432 31124288    0    0 2956288    20 15594 25626  0  5 45 50  0
 2 30 177920 29744816   7432 34062980    0    0 2930688     0 15503 25269  0  5 47 48  0
 3 28 177920 26814356   7432 36993668    0    0 2925312     0 15376 25067  0  5 45 50  0
 3 29 177920 23851172   7432 39956372    0    0 2955264    40 15648 25708  0  5 44 51  0
 2 30 177920 20865600   7432 42939908    0    0 2976768     0 16508 26338  0  5 39 56  0
 1 31 177920 17925096   7440 45882588    0    0 2936064    20 15591 25471  0  5 40 56  0
 1 31 177920 14988864   7440 48821256    0    0 2931968    12 15688 25818  0  5 42 54  0
 0 32 177920 12052680   7440 51756764    0    0 2929664     0 15548 25223  0  5 44 51  0
 3 29 177920 9124488   7440 54685684    0    0 2921728     0 15484 25228  0  5 42 53  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 30 177920 6169848   7440 57641588    0    0 2948864    40 15705 25946  0  5 40 56  0
 2 30 177920 3216000   7448 60595116    0    0 2947072    20 15490 25710  0  4 40 56  0
 2 30 177920 1407408   7220 62484368    0    0 2972416     0 16194 26730  0  5 38 57  0
 0 32 177920 1057604   7220 62835604    0    0 2960384     0 16563 27480  0  6 35 59  0
 1 31 177920 732036   7220 63162040    0    0 2949632     0 16269 27224  0  5 39 55  0
 4 29 177920 444280   7192 63449008    0    0 2946128     0 17610 28508  0  6 34 60  0
 1 31 177920 464656   7188 63428512    0    0 2980356    80 15951 26598  0  5 30 65  0
 2 30 177920 397648   7188 63496024    0    0 2970112     0 16007 26769  0  5 31 63  0
 3 30 177920 498848   7196 63395376    0    0 2930952     0 15641 25964  0  5 34 61  0
 0 32 177920 473076   7196 63423628    0    0 2954496     0 15731 26136  0  5 38 57  0
 3 30 177920 456932   7196 63438956    0    0 2954240     0 15813 26308  0  5 32 63  0
 4 29 177920 462748   7208 63432824    0    0 2981888    72 15885 26398  0  5 31 64  0
 2 31 177920 408156   7208 63487252    0    0 2942720     0 15733 25966  0  5 35 60  0
 3 29 177920 451896   7208 63443020    0    0 2958848     0 15627 26120  0  5 40 54  0
 3 29 177920 449768   7208 63445168    0    0 2934272     0 15679 25962  0  5 36 59  0
 4 28 177920 425368   7208 63457728    0    0 2944256     0 17105 27455  0  5 38 57  0
 3 28 177920 460388   7216 63434884    0    0 2922240    72 15729 26139  0  5 35 60  0
 3 30 177920 501648   7216 63394644    0    0 2962176     0 15762 26338  0  5 39 56  0
 3 29 177920 421144   7216 63474840    0    0 2938624     0 15800 26071  0  5 41 54  0
 2 31 177920 431512   7216 63463260    0    0 2886912     0 15347 25186  0  5 36 59  0
 2 32 177920 466676   7216 63427896    0    0 2976000     0 15995 26625  0  5 36 59  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 32 177920 432344   7224 63462112    0    0 2958848    12 15881 26376  0  5 38 57  0
 5 27 177920 469988   7224 63426536    0    0 2954496    52 15649 26108  0  5 37 58  0
 2 30 177920 453424   7224 63438100    0    0 2970624     0 15840 26569  0  5 38 57  0
 2 31 177920 402104   7224 63489496    0    0 2941184     0 15765 26143  0  5 36 59  0
 3 29 177920 415248   7224 63469996    0    0 2961408     0 17190 28166  0  5 36 58  0
 7 25 177920 486076   7256 63396216    0   12 2949792    44 17762 28611  0  6 35 59  0
33  1 177920 36739480   7256 27051596    0    0 1454080     0 18511 16119  0 71 21  8  0
 3 30 177920 59663116   7260 4196292    0    0 2697472    44 22032 24803  0 55 21 23  0
 1 31 177920 56700984   7260 7156952    0    0 2958848     0 16049 26393  0  6 38 57  0
 1 31 177920 53715096   7260 10144264    0    0 2982144     0 15559 25869  0  4 38 58  0
 4 28 177920 50737500   7268 13126096    0    0 2973696    44 15569 25825  0  4 37 59  0
 1 31 177920 47785908   7268 16077368    0    0 2945024     0 15474 25843  0  4 36 60  0
 1 31 177920 44806708   7268 19056356    0    0 2972672     0 15596 26385  0  4 35 61  0
 2 30 177920 41887248   7268 21986180    0    0 2923520    56 15384 25799  0  4 36 60  0
 1 31 177920 38913304   7268 24950592    0    0 2957824     0 16431 26865  0  4 34 62  0
 1 31 177920 35959372   7276 27905604    0    0 2948608    24 15692 26327  0  4 30 66  0
 0 32 177920 33004968   7276 30860284    0    0 2947328     0 15429 26007  0  4 34 63  0
 2 30 177920 30036744   7276 33828608    0    0 2962176     0 15564 26024  0  4 34 61  0
 2 30 177920 27084900   7276 36782428    0    0 2947072     0 15426 25718  0  4 36 60  0
 1 31 177920 24136272   7280 39731496    0    0 2942980    40 15445 26084  0  4 36 60  0
