procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 128512 63595520   4264 177936    0    0   277   872    1    3  1  1 97  1  0
 7  1 128512 63588320   6736 184424    0    0  7988     0 2158 2541  0  0 99  0  0
 3 33 128512 62582760   7528 1181792    0    0 527836    52 143013 257118  3  4 78 15  0
 4 28 128512 61033964   7532 2738832    0    0 1423628     4 387334 707937  1  8 46 44  0
 4 25 128512 59548376   7532 4229244    0    0 1419300     0 380118 707769  1  8 41 50  0
 5 25 128512 58084932   7532 5690008    0    0 1419908     0 379044 709397  1  9 39 52  0
 7 26 128512 56645076   7536 7140980    0    0 1420060    72 376496 709864  1  8 37 54  0
 5 28 128512 55211048   7544 8581460    0    0 1420780    20 375895 710620  1  8 36 55  0
 3 28 128512 53778152   7552 10014768    0    0 1420820    20 373077 711302  1  9 33 57  0
 3 29 128512 52341548   7552 11450128    0    0 1424360     0 373662 713190  1  8 33 58  0
 4 28 128512 50905412   7552 12897316    0    0 1428468     0 367134 718222  1  8 25 66  0
 3 27 128512 49463720   7552 14342032    0    0 1433040     0 365140 721320  1  8 22 70  0
 6 27 128512 48020792   7564 15781516    0    0 1430068    80 364174 720028  1  8 21 70  0
 5 27 128512 46577636   7564 17224124    0    0 1432928     0 365004 721569  1  8 21 70  0
 3 29 128512 45136724   7564 18670144    0    0 1432384     0 366340 721342  1  8 21 70  0
 4 25 128512 43694052   7564 20113988    0    0 1433400     0 368855 722407  1  8 21 70  0
 5 26 128512 42254640   7564 21550580    0    0 1430592     0 367248 720567  1  8 21 70  0
 4 29 128512 40811436   7572 22991764    0    0 1431924    12 367452 721114  1  8 21 70  0
 4 28 128512 39372516   7708 24437620    0    0 1432552    40 364412 721658  1  8 21 70  0
 5 27 128512 37932336   7708 25877480    0    0 1431028     0 364198 720691  1  8 21 70  0
 4 28 128512 36494928   7708 27311400    0    0 1429676     0 363529 719957  1  8 21 70  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
