procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 177664 63692672   3868 172816    0    0   284   871    3    3  1  1 97  1  0
 3  0 177664 63687652   4720 173720    0    0  2200     0  730 1031  0  0 100  0  0
32  2 177664 59617416   7564 4248108    0    0 21476    48 8422 6730  4 29 67  0  0
 1 32 177664 51916284   7572 11957440    0    0     4 747124 136125 12654  4 50 22 24  0
 1 32 177664 49675928   7572 14195876    0    0     0 1596720 323493 3696  0  3 44 53  0
 4 29 177664 47624952   7572 16244556    0    0     0 1668184 326846 3409  0  3 49 48  0
 3 30 177664 45681532   7572 18178952    0    0     0 1643048 321344 4131  0  3 50 47  0
 2 32 177664 43878240   7592 19983932    0    0     4 1712700 325710 3353  0  3 52 45  0
 2 31 177664 42173740   7592 21691344    0    0     0 1657996 303831 3097  0  3 53 45  0
 1 32 177664 40505432   7596 23359192    0    0     4 1772728 314723 3236  0  3 50 47  0
 3 31 177664 38891040   7596 24970640    0    0     0 1729328 298808 3258  0  3 48 50  0
 5 29 177664 37276140   7596 26581408    0    0     0 1799888 302569 3125  0  3 53 44  0
 5 29 177664 35705208   7612 28149888    0    0     0 1748444 289167 3161  0  3 52 45  0
 1 32 177664 34115796   7612 29733664    0    0     0 1852420 293111 3203  0  3 50 47  0
 1 32 177664 32579628   7612 31264388    0    0     0 1717896 298623 3073  0  3 57 40  0
 1 32 177664 31053252   7616 32786524    0    0     4 1722300 309929 3280  0  3 59 38  0
 1 32 177664 29572856   7616 34258656    0    0     0 1772580 317848 3784  0  3 54 43  0
 1 33 177664 28077504   7632 35746368    0    0    44 1720324 308175 3898  0  3 55 42  0
 1 32 177664 26624436   7632 37194732    0    0     0 1790264 318305 3270  0  3 55 42  0
 4 29 177664 25182536   7632 38634788    0    0     0 1736028 307304 3360  0  3 54 44  0
 4 29 177664 23758952   7632 40055044    0    0     0 1782608 311891 3125  0  3 51 46  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 29 177664 22371696   7632 41439048    0    0     0 1736108 306077 3238  0  3 49 48  0
 4 29 177664 20961972   7648 42844728    0    0     0 1795472 314325 3280  0  3 53 44  0
 3 30 177664 19622028   7648 44179136    0    0     0 1728144 299282 3201  0  3 58 39  0
 1 32 177664 18256920   7648 45541540    0    0     0 1732092 299548 3242  0  3 57 40  0
 4 29 177664 16950552   7648 46841016    0    0     0 1780152 308975 3161  0  3 56 42  0
 1 32 177664 15649420   7648 48138716    0    0     0 1707040 304903 3715  0  3 55 42  0
 5 28 177664 14385076   7672 49398572    0    0     0 1773220 313344 3364  0  3 56 41  0
 1 32 177664 13123024   7672 50657856    0    0     0 1715808 302061 3277  0  3 52 45  0
 2 31 177664 11876332   7672 51899972    0    0     0 1777848 312720 3129  0  3 54 43  0
 1 32 177664 10664128   7672 53108956    0    0     0 1729392 305617 3169  0  3 56 41  0
 1 32 177664 9431536   7672 54337780    0    0     0 1783784 315374 3261  0  3 55 42  0
 1 32 177664 8254132   7692 55512908    0    0     0 1730676 305632 3105  0  3 61 37  0
 6 29 177664 7053532   7692 56708332    0    0     0 1783372 315097 3327  0  3 53 44  0
 1 32 177664 5908696   7692 57848132    0    0     0 1720048 302405 3119  0  3 55 42  0
 3 30 177664 4760212   7692 58993340    0    0     0 1717528 300606 3289  0  3 53 44  0
 1 32 177664 3641020   7692 60107492    0    0     0 1787920 317197 3697  0  3 58 39  0
 3 30 177664 2532148   7712 61214036    0    0     0 1712668 301857 3143  0  3 53 44  0
 4 29 177664 1433500   7716 62302960    0    0     4 1771176 311965 3309  0  3 52 45  0
 5 29 177920 466688   7640 63268700    0  216     0 1720340 303569 3313  0  3 50 47  0
 5 28 177920 463196   7640 63272048    0    0     0 1776928 311318 3332  0  3 52 45  0
 5 29 177920 453112   7640 63287328    0    0     0 1714852 297953 3338  0  3 52 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 32 177920 460560   7656 63281436    0    0     0 1780012 308710 3479  0  3 53 43  0
 1 32 177920 402128   7656 63337140    0    0     0 1706300 294039 3311  0  3 48 48  0
 1 32 177920 460016   7656 63278740    0    0     0 1701468 291249 3422  0  3 50 46  0
 2 32 177920 423456   7656 63315188    0    0     0 1762700 302877 3382  0  3 52 44  0
 2 32 177920 396116   7656 63342852    0    0   596 1713584 296289 5938  0  3 54 42  0
 6 27 177920 411716   7672 63328348    0    0     0 1770292 304498 3581  0  3 56 40  0
 2 32 177920 441424   7672 63301984    0    0     0 1706380 289384 3399  0  3 60 36  0
 3 30 177920 447980   7672 63295616    0    0     0 1762448 300216 3275  0  3 59 38  0
 5 29 177920 464636   7676 63275804    0    0     4 1697672 288291 3363  0  3 55 41  0
 4 30 177920 419796   7676 63321324    0    0     0 1758416 298761 3440  0  3 55 42  0
 3 30 177920 430588   7692 63312284    0    0     0 1686276 285610 3200  0  3 61 36  0
 6 27 177920 452236   7692 63292424    0    0     0 1757092 300225 3335  0  3 67 30  0
 6 28 177920 403404   7692 63338708    0    0     0 1703924 290939 3321  0  3 61 35  0
 2 32 177920 408976   7692 63333136    0    0     0 1711984 292903 3378  0  3 55 42  0
 1 32 177920 418772   7692 63322960    0    0     0 1761908 302747 4703  0  4 52 44  0
 1 32 177920 537060   7708 63202152    0    0     0 1685200 286386 3476  0  3 52 45  0
 3 31 177920 426688   7708 63315692    0    0     0 1749168 297014 3277  0  3 61 36  0
 1 32 177920 509160   7708 63236592    0    0     0 1701704 290906 3545  0  3 56 41  0
 6 26 177920 465844   7712 63280736    0    0     4 1762016 301671 3383  0  3 50 46  0
 7 27 177920 431892   7712 63311828    0    0     0 1712176 294303 3315  0  3 47 49  0
22 11 177920 500868   8376 63232464    0    0  1148 1969468 444041 428745  0 15 47 37  0
